accuracy,brier,dataset,delta_star,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.765,0.3482946160714122,cora,,,0.06233713345229624,0.0,0.7594884453474124,eata,0.8002839684486389,0.23401750000630273,2,clean
0.773,0.3335906189026378,cora,,,0.058163690179586405,0.0,0.76647353186764,matcha,0.7549377679824829,0.7538910999937798,2,clean
0.801,0.3639160215902441,cora,,,0.16405987188220023,0.0,0.7951275042561513,gtrans,1.0332168340682983,2.05240970000159,2,clean
0.776,0.3320953473401635,cora,0.01940827229817708,False,0.05726389122009279,0.0,0.7704046781497391,full_method,0.7517305612564087,8.068117599999823,2,clean
0.282,1.2818405081907476,cora,,,0.5955059420466423,0.1,0.2728596651495517,source_only,7.4089860916137695,0.0,2,feature_noise
0.273,1.0290748625145594,cora,,,0.37971366287767894,0.1,0.24860136447617176,tent,2.73447847366333,0.6875689000007696,2,feature_noise
0.278,0.9415296935779232,cora,,,0.265937420681119,0.1,0.27254101932971964,eata,2.3111209869384766,0.19301049999921815,2,feature_noise
0.276,1.2857034912204977,cora,,,0.605595877289772,0.1,0.26241381330035035,matcha,7.483334064483643,0.845822399998724,2,feature_noise
0.285,1.3239813099835884,cora,,,0.637014694482088,0.1,0.27488128783494037,gtrans,7.677507400512695,2.7168682999981684,2,feature_noise
0.277,1.2843875235243016,cora,0.01940827229817708,False,0.6081113376915455,0.1,0.26339238415804006,full_method,7.486609935760498,7.150996700001997,2,feature_noise
0.751,0.3628922938611453,cora,,,0.062458420038223245,0.15,0.7369625076522252,source_only,0.8339844942092896,0.0,2,edge_drop
0.767,0.3503259750537749,cora,,,0.08523259326815606,0.15,0.7516014090888986,tent,0.8653370141983032,0.17220269999961602,2,edge_drop
0.744,0.37335510779650294,cora,,,0.05182162465155125,0.15,0.7331115124204646,eata,0.8702526688575745,0.21944880000228295,2,edge_drop
0.753,0.3591216398973618,cora,,,0.04850388625264168,0.15,0.7387906948516846,matcha,0.8281067609786987,0.9658698999992339,2,edge_drop
0.778,0.41173041853851067,cora,,,0.18985947921872146,0.15,0.7645297035210634,gtrans,1.228405475616455,1.9549535000041942,2,edge_drop
0.753,0.3577771002233065,cora,0.01940827229817708,False,0.04779012970626355,0.15,0.7389311536065646,full_method,0.8255213499069214,6.878314299996418,2,edge_drop
0.655,0.5276661674654067,citeseer,,,0.12476254671812062,0.0,0.6330869161719265,source_only,1.1066689491271973,0.0,0,clean
0.666,0.5159700756446284,citeseer,,,0.13720635229349137,0.0,0.6421032794767246,tent,1.2706226110458374,1.2254620999956387,0,clean
0.657,0.5217483860382783,citeseer,,,0.1046612957715988,0.0,0.6363400749291358,eata,1.1684045791625977,0.8426594999982626,0,clean
0.648,0.5198663301446702,citeseer,,,0.10687988924980163,0.0,0.6267258487406756,matcha,1.0932098627090454,0.7049121000018204,0,clean
0.65,0.6642275249558627,citeseer,,,0.31756249022483823,0.0,0.6308248693782647,gtrans,1.9650007486343384,4.793758400002844,0,clean
0.647,0.5196776279393396,citeseer,0.03970834274291992,False,0.10490727709233762,0.0,0.6248360951000288,full_method,1.0927538871765137,14.520418299995072,0,clean
0.626,0.539187014355554,citeseer,,,0.10224847547709945,0.15,0.6069774286299358,source_only,1.1315051317214966,0.0,0,edge_drop
0.643,0.5365522005159743,citeseer,,,0.14215558731555938,0.15,0.6209411918790481,tent,1.3182871341705322,0.3097933999961242,0,edge_drop
0.634,0.537519652301976,citeseer,,,0.09591745847463609,0.15,0.6155763176915109,eata,1.2008838653564453,0.4968263000046136,0,edge_drop
0.626,0.5326099092787597,citeseer,,,0.08907547259330752,0.15,0.6060123002917654,matcha,1.1212843656539917,0.6753183999971952,0,edge_drop
0.629,0.7046473146425923,citeseer,,,0.34372363191843036,0.15,0.6109072754840175,gtrans,2.112205982208252,3.947230600002513,0,edge_drop
0.624,0.5323650975229789,citeseer,0.03970834274291992,False,0.08481445589661599,0.15,0.6039262047097528,full_method,1.1207448244094849,14.453474100002495,0,edge_drop
0.644,0.5335052571356567,citeseer,,,0.10322759664058682,0.0,0.617000134170124,source_only,1.1428489685058594,0.0,1,clean
0.66,0.5304017332665949,citeseer,,,0.1441647284030914,0.0,0.6282309295389994,tent,1.3240419626235962,0.3368469000051846,1,clean
0.638,0.5402855089392218,citeseer,,,0.103068595290184,0.0,0.6141113623349536,eata,1.217836618423462,0.4023698999953922,1,clean
0.642,0.525601200985942,citeseer,,,0.08543057307600974,0.0,0.6094442898594946,matcha,1.1328967809677124,0.7432515000036801,1,clean
0.653,0.6707405980315191,citeseer,,,0.3276913289427757,0.0,0.6225528184029184,gtrans,2.1634082794189453,4.596962700001313,1,clean
0.642,0.5247045457306249,citeseer,0.0441532200495402,False,0.08417590382695196,0.0,0.6093506073268359,full_method,1.1310805082321167,17.132284499995876,1,clean
0.627,0.5474342714744392,citeseer,,,0.10212764121592044,0.15,0.6008082199347181,source_only,1.178863286972046,0.0,1,edge_drop
0.647,0.5456673202661516,citeseer,,,0.15631190641224382,0.15,0.6144551693993117,tent,1.3764210939407349,0.6229987000042456,1,edge_drop
0.628,0.5570885930799182,citeseer,,,0.10516014985740185,0.15,0.6052632057650241,eata,1.2608001232147217,0.4670696999965003,1,edge_drop
0.628,0.5394016970375144,citeseer,,,0.08072209590673446,0.15,0.5967929876388899,matcha,1.1706814765930176,1.831287600005453,1,edge_drop
0.644,0.6919251945200474,citeseer,,,0.3403540834188461,0.15,0.6137383456406712,gtrans,2.251119613647461,4.057926100002078,1,edge_drop
0.627,0.5389974621654978,citeseer,0.0441532200495402,False,0.08015224480628967,0.15,0.5958918500576666,full_method,1.1699483394622803,14.14276339999924,1,edge_drop
0.659,0.532354056149319,citeseer,,,0.12912167415022846,0.0,0.6303390192842085,source_only,1.127618670463562,0.0,2,clean
0.661,0.5292712298772635,citeseer,,,0.15274942776560782,0.0,0.6308945727307375,tent,1.3490440845489502,0.31538459999865154,2,clean
0.657,0.5293527527545261,citeseer,,,0.11336646929383279,0.0,0.6300262256450834,eata,1.205612301826477,0.3718144000013126,2,clean
0.655,0.5267516605578512,citeseer,,,0.1152849146425724,0.0,0.6249041416162641,matcha,1.1205304861068726,0.662569899999653,2,clean
0.659,0.6453037740599181,citeseer,,,0.31384376442432405,0.0,0.6284278659918373,gtrans,1.9441670179367065,3.7965925999960746,2,clean
0.662,0.5262946911669155,citeseer,0.041080680084228514,False,0.11885404628515243,0.0,0.6310223943872267,full_method,1.1198804378509521,14.666089599995757,2,clean
0.645,0.5422368966746228,citeseer,,,0.11328884211182595,0.15,0.6178604359076618,source_only,1.151932716369629,0.0,2,edge_drop
0.653,0.5494323500838544,citeseer,,,0.15797509947419164,0.15,0.6241195471511293,tent,1.4049677848815918,0.38172620000113966,2,edge_drop
