acc_delta,delta_self,delta_tolerance,final_acc,intensity,max_delta_t,max_phi_t,outcome,peak_step_delta,peak_step_phi,phi_tolerance,scenario,seed,shift,src_acc,steps,would_halt
0.0,0.00021,0.05,0.9939393939393939,0.45,0.000549,0.0,clean_no_halt,59,0,0.2,balanced,2,feature_noise,0.9939393939393939,60,False
0.0,0.00021,0.02,0.9939393939393939,0.45,0.000549,0.0,clean_no_halt,59,0,0.1,safety,2,feature_noise,0.9939393939393939,60,False
0.0,0.00021,0.000420338503519694,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.2,auto,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.05,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.02,0.9757575757575757,0.15,0.000313,0.0,clean_no_halt,59,0,0.1,safety,2,edge_drop,0.9757575757575757,60,False
0.0,0.00021,0.000420338503519694,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.2,auto,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.05,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.02,0.9636363636363636,0.35,0.00026,0.0,clean_no_halt,59,0,0.1,safety,2,edge_drop,0.9636363636363636,60,False
0.0,0.00021,0.000420338503519694,0.9696969696969697,0.15,0.00054,0.0,false_alarm,59,0,0.2,auto,2,edge_add,0.9696969696969697,60,True
0.0,0.00021,0.05,0.9696969696969697,0.15,0.00054,0.0,clean_no_halt,59,0,0.2,balanced,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.02,0.9696969696969697,0.15,0.00054,0.0,clean_no_halt,59,0,0.1,safety,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.000420338503519694,0.9696969696969697,0.35,0.002406,0.00333,false_alarm,59,7,0.2,auto,2,edge_add,0.9696969696969697,60,True
0.0,0.00021,0.05,0.9696969696969697,0.35,0.002406,0.00333,clean_no_halt,59,7,0.2,balanced,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.02,0.9696969696969697,0.35,0.002406,0.00333,clean_no_halt,59,7,0.1,safety,2,edge_add,0.9696969696969697,60,False
0.0,0.00021,0.000420338503519694,0.9878787878787879,0.35,0.000307,0.0,clean_no_halt,59,0,0.2,auto,2,degree_shift,0.9878787878787879,60,False
0.0,0.00021,0.05,0.9878787878787879,0.35,0.000307,0.0,clean_no_halt,59,0,0.2,balanced,2,degree_shift,0.9878787878787879,60,False
0.0,0.00021,0.02,0.9878787878787879,0.35,0.000307,0.0,clean_no_halt,59,0,0.1,safety,2,degree_shift,0.9878787878787879,60,False
0.00606,0.00021,0.000420338503519694,0.896969696969697,0.25,0.004072,0.00333,false_alarm,59,57,0.2,auto,2,homophily_shift,0.8909090909090909,60,True
0.00606,0.00021,0.05,0.896969696969697,0.25,0.004072,0.00333,clean_no_halt,59,57,0.2,balanced,2,homophily_shift,0.8909090909090909,60,False
0.00606,0.00021,0.02,0.896969696969697,0.25,0.004072,0.00333,clean_no_halt,59,57,0.1,safety,2,homophily_shift,0.8909090909090909,60,False
-0.05455,0.00021,0.000420338503519694,0.5272727272727272,0.5,0.061531,0.26667,proxy_fires,59,59,0.2,auto,2,homophily_shift,0.5818181818181818,60,True
-0.05455,0.00021,0.05,0.5272727272727272,0.5,0.061531,0.26667,proxy_fires,59,59,0.2,balanced,2,homophily_shift,0.5818181818181818,60,True
-0.05455,0.00021,0.02,0.5272727272727272,0.5,0.061531,0.26667,proxy_fires,59,59,0.1,safety,2,homophily_shift,0.5818181818181818,60,True
0.0,0.000195,0.0003904169718424479,0.9818181818181818,0.0,0.00027,0.0,clean_no_halt,59,0,0.2,auto,3,clean,0.9818181818181818,60,False
0.0,0.000195,0.05,0.9818181818181818,0.0,0.00027,0.0,clean_no_halt,59,0,0.2,balanced,3,clean,0.9818181818181818,60,False
0.0,0.000195,0.02,0.9818181818181818,0.0,0.00027,0.0,clean_no_halt,59,0,0.1,safety,3,clean,0.9818181818181818,60,False
0.0,0.000195,0.0003904169718424479,0.9818181818181818,0.2,0.00042,0.0,false_alarm,59,0,0.2,auto,3,feature_noise,0.9818181818181818,60,True
0.0,0.000195,0.05,0.9818181818181818,0.2,0.00042,0.0,clean_no_halt,59,0,0.2,balanced,3,feature_noise,0.9818181818181818,60,False
0.0,0.000195,0.02,0.9818181818181818,0.2,0.00042,0.0,clean_no_halt,59,0,0.1,safety,3,feature_noise,0.9818181818181818,60,False
0.0,0.000195,0.0003904169718424479,0.9757575757575757,0.45,0.000481,0.0,false_alarm,59,0,0.2,auto,3,feature_noise,0.9757575757575757,60,True
0.0,0.000195,0.05,0.9757575757575757,0.45,0.000481,0.0,clean_no_halt,59,0,0.2,balanced,3,feature_noise,0.9757575757575757,60,False
0.0,0.000195,0.02,0.9757575757575757,0.45,0.000481,0.0,clean_no_halt,59,0,0.1,safety,3,feature_noise,0.9757575757575757,60,False
0.0,0.000195,0.0003904169718424479,0.9818181818181818,0.15,0.00027,0.0,clean_no_halt,59,0,0.2,auto,3,edge_drop,0.9818181818181818,60,False
0.0,0.000195,0.05,0.9818181818181818,0.15,0.00027,0.0,clean_no_halt,59,0,0.2,balanced,3,edge_drop,0.9818181818181818,60,False
0.0,0.000195,0.02,0.9818181818181818,0.15,0.00027,0.0,clean_no_halt,59,0,0.1,safety,3,edge_drop,0.9818181818181818,60,False
0.0,0.000195,0.0003904169718424479,0.9515151515151515,0.35,0.000308,0.0,clean_no_halt,59,0,0.2,auto,3,edge_drop,0.9515151515151515,60,False
0.0,0.000195,0.05,0.9515151515151515,0.35,0.000308,0.0,clean_no_halt,59,0,0.2,balanced,3,edge_drop,0.9515151515151515,60,False
0.0,0.000195,0.02,0.9515151515151515,0.35,0.000308,0.0,clean_no_halt,59,0,0.1,safety,3,edge_drop,0.9515151515151515,60,False
0.0,0.000195,0.0003904169718424479,0.9757575757575757,0.15,0.000808,0.0,false_alarm,59,0,0.2,auto,3,edge_add,0.9757575757575757,60,True
0.0,0.000195,0.05,0.9757575757575757,0.15,0.000808,0.0,clean_no_halt,59,0,0.2,balanced,3,edge_add,0.9757575757575757,60,False
0.0,0.000195,0.02,0.9757575757575757,0.15,0.000808,0.0,clean_no_halt,59,0,0.1,safety,3,edge_add,0.9757575757575757,60,False
0.01212,0.000195,0.0003904169718424479,0.9757575757575757,0.35,0.002428,0.00667,false_alarm,59,43,0.2,auto,3,edge_add,0.9636363636363636,60,True
0.01212,0.000195,0.05,0.9757575757575757,0.35,0.002428,0.00667,clean_no_halt,59,43,0.2,balanced,3,edge_add,0.9636363636363636,60,False
0.01212,0.000195,0.02,0.9757575757575757,0.35,0.002428,0.00667,clean_no_halt,59,43,0.1,safety,3,edge_add,0.9636363636363636,60,False
0.0,0.000195,0.0003904169718424479,0.9818181818181818,0.35,0.00027,0.0,clean_no_halt,59,0,0.2,auto,3,degree_shift,0.9818181818181818,60,False
0.0,0.000195,0.05,0.9818181818181818,0.35,0.00027,0.0,clean_no_halt,59,0,0.2,balanced,3,degree_shift,0.9818181818181818,60,False
0.0,0.000195,0.02,0.9818181818181818,0.35,0.00027,0.0,clean_no_halt,59,0,0.1,safety,3,degree_shift,0.9818181818181818,60,False
-0.00606,0.000195,0.0003904169718424479,0.8545454545454545,0.25,0.004006,0.01667,false_alarm,59,57,0.2,auto,3,homophily_shift,0.8606060606060606,60,True
-0.00606,0.000195,0.05,0.8545454545454545,0.25,0.004006,0.01667,clean_no_halt,59,57,0.2,balanced,3,homophily_shift,0.8606060606060606,60,False
-0.00606,0.000195,0.02,0.8545454545454545,0.25,0.004006,0.01667,clean_no_halt,59,57,0.1,safety,3,homophily_shift,0.8606060606060606,60,False
-0.08485,0.000195,0.0003904169718424479,0.5333333333333333,0.5,0.066736,0.28667,proxy_fires,59,59,0.2,auto,3,homophily_shift,0.6181818181818182,60,True
-0.08485,0.000195,0.05,0.5333333333333333,0.5,0.066736,0.28667,proxy_fires,59,59,0.2,balanced,3,homophily_shift,0.6181818181818182,60,True
-0.08485,0.000195,0.02,0.5333333333333333,0.5,0.066736,0.28667,proxy_fires,59,59,0.1,safety,3,homophily_shift,0.6181818181818182,60,True
0.0,0.000499,0.0009970730463663736,0.9696969696969697,0.0,0.001028,0.0,false_alarm,59,0,0.2,auto,4,clean,0.9696969696969697,60,True
0.0,0.000499,0.05,0.9696969696969697,0.0,0.001028,0.0,clean_no_halt,59,0,0.2,balanced,4,clean,0.9696969696969697,60,False
0.0,0.000499,0.02,0.9696969696969697,0.0,0.001028,0.0,clean_no_halt,59,0,0.1,safety,4,clean,0.9696969696969697,60,False
0.0,0.000499,0.0009970730463663736,0.9818181818181818,0.2,0.00052,0.0,clean_no_halt,59,0,0.2,auto,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.05,0.9818181818181818,0.2,0.00052,0.0,clean_no_halt,59,0,0.2,balanced,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.02,0.9818181818181818,0.2,0.00052,0.0,clean_no_halt,59,0,0.1,safety,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.0009970730463663736,0.9818181818181818,0.45,0.000829,0.0,clean_no_halt,59,0,0.2,auto,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.05,0.9818181818181818,0.45,0.000829,0.0,clean_no_halt,59,0,0.2,balanced,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.02,0.9818181818181818,0.45,0.000829,0.0,clean_no_halt,59,0,0.1,safety,4,feature_noise,0.9818181818181818,60,False
0.0,0.000499,0.0009970730463663736,0.9636363636363636,0.15,0.000694,0.0,clean_no_halt,59,0,0.2,auto,4,edge_drop,0.9636363636363636,60,False
0.0,0.000499,0.05,0.9636363636363636,0.15,0.000694,0.0,clean_no_halt,59,0,0.2,balanced,4,edge_drop,0.9636363636363636,60,False
0.0,0.000499,0.02,0.9636363636363636,0.15,0.000694,0.0,clean_no_halt,59,0,0.1,safety,4,edge_drop,0.9636363636363636,60,False
0.0,0.000499,0.0009970730463663736,0.9636363636363636,0.35,0.001713,0.0,false_alarm,59,0,0.2,auto,4,edge_drop,0.9636363636363636,60,True
0.0,0.000499,0.05,0.9636363636363636,0.35,0.001713,0.0,clean_no_halt,59,0,0.2,balanced,4,edge_drop,0.9636363636363636,60,False
0.0,0.000499,0.02,0.9636363636363636,0.35,0.001713,0.0,clean_no_halt,59,0,0.1,safety,4,edge_drop,0.9636363636363636,60,False
-0.00606,0.000499,0.0009970730463663736,0.9575757575757575,0.15,0.002409,0.00333,false_alarm,59,2,0.2,auto,4,edge_add,0.9636363636363636,60,True
-0.00606,0.000499,0.05,0.9575757575757575,0.15,0.002409,0.00333,clean_no_halt,59,2,0.2,balanced,4,edge_add,0.9636363636363636,60,False
-0.00606,0.000499,0.02,0.9575757575757575,0.15,0.002409,0.00333,clean_no_halt,59,2,0.1,safety,4,edge_add,0.9636363636363636,60,False
