accuracy,brier,cov_r_e,ece,intensity,mean_reliability,method,regime,runtime_seconds,seed,selected_fraction,shift
0.9454545454545454,0.08761944496445599,-0.011428855385138952,0.034798770239858966,0.15,0.4259540613301391,no_neighborhood_agreement,in_envelope,0.4687345000274945,1,0.39999999999999986,edge_drop
0.9454545454545454,0.08761058461984485,-0.011780709489012298,0.0347571188753302,0.15,0.43254023366665906,no_structural_stability,in_envelope,0.37492740000016056,1,0.39999999999999986,edge_drop
0.9454545454545454,0.08762210176635482,-0.011687123903853574,0.03476008176803594,0.15,0.4319732974520801,no_source_consistency,in_envelope,0.6323626000084914,1,0.39999999999999986,edge_drop
0.9454545454545454,0.08747067986352781,-0.011440049471175393,0.03473295009497445,0.15,0.4369378906938012,no_degree_prior,in_envelope,0.6944037999783177,1,0.39999999999999986,edge_drop
0.9212121212121213,0.1292453367258545,-0.016381864220457103,0.05488702456156409,0.35,0.4215180450645291,full_method,in_envelope,0.6814229000010528,1,0.39999999999999986,edge_drop
0.9212121212121213,0.12932187959871094,-0.013457007231211784,0.04370500282807788,0.35,0.4315390119419803,no_confidence,in_envelope,0.6740151999983937,1,0.39999999999999986,edge_drop
0.9212121212121213,0.1292624536158769,-0.01401330317581345,0.0516602575778961,0.35,0.41751744405797875,no_neighborhood_agreement,in_envelope,0.47581890001310967,1,0.39999999999999986,edge_drop
0.9212121212121213,0.1292329475229564,-0.01664221942768119,0.05345455137166108,0.35,0.4219485683227827,no_structural_stability,in_envelope,0.3975566000153776,1,0.39999999999999986,edge_drop
0.9212121212121213,0.1292452911034922,-0.016381864220457107,0.05488705382202609,0.35,0.42151839210606384,no_source_consistency,in_envelope,0.632297500007553,1,0.39999999999999986,edge_drop
0.9212121212121213,0.12925866544419215,-0.015776469224647118,0.053452494830796185,0.35,0.41813473632308834,no_degree_prior,in_envelope,0.6664526000095066,1,0.39999999999999986,edge_drop
0.9454545454545454,0.07634329491954893,-0.01710920214396982,0.030161634719732995,0.15,0.4190012058670628,full_method,in_envelope,0.6763930000015534,1,0.39999999999999986,edge_add
0.9454545454545454,0.07640743848001386,-0.014055882926657695,0.030040084593223788,0.15,0.45403031782114894,no_confidence,in_envelope,0.6626681000052486,1,0.39999999999999986,edge_add
0.9454545454545454,0.0762456934147499,-0.016662885736364173,0.030068005576278183,0.15,0.41124974364691674,no_neighborhood_agreement,in_envelope,0.4894778000016231,1,0.39999999999999986,edge_add
0.9454545454545454,0.07634705728520354,-0.01713778333681357,0.030163201418789937,0.15,0.4194491867262824,no_structural_stability,in_envelope,0.38248529998236336,1,0.39999999999999986,edge_add
0.9454545454545454,0.0763431512592678,-0.01710920214396982,0.030161648085623036,0.15,0.41900122887157454,no_source_consistency,in_envelope,0.6693496000079904,1,0.39999999999999986,edge_add
0.9454545454545454,0.07634390900953487,-0.016942294139439103,0.03017269391002076,0.15,0.421278343236166,no_degree_prior,in_envelope,0.7152239000133704,1,0.39999999999999986,edge_add
0.9272727272727272,0.1047257320982628,-0.02315937430149292,0.042285579262357764,0.35,0.405192253264082,full_method,in_envelope,0.7077458999992814,1,0.39999999999999986,edge_add
0.9212121212121213,0.10341658281795557,-0.020751807370066197,0.035032990123286395,0.35,0.45358348588691355,no_confidence,in_envelope,0.678476499975659,1,0.39999999999999986,edge_add
0.9272727272727272,0.10490404542588212,-0.021678325551758807,0.045376736467534845,0.35,0.3832902838378025,no_neighborhood_agreement,in_envelope,0.5246231999772135,1,0.39999999999999986,edge_add
0.9272727272727272,0.10473207126684458,-0.02323077677568657,0.0422885977860653,0.35,0.40530938264896954,no_structural_stability,in_envelope,0.3860537000000477,1,0.39999999999999986,edge_add
0.9272727272727272,0.10472460276458193,-0.02315937430149292,0.0422853076096737,0.35,0.4051953271565795,no_source_consistency,in_envelope,0.6897664999996778,1,0.39999999999999986,edge_add
0.9272727272727272,0.1047299118105403,-0.023197387636709754,0.04227771000428633,0.35,0.4085433162658765,no_degree_prior,in_envelope,0.7841010999982245,1,0.39999999999999986,edge_add
0.9696969696969697,0.04538636573189658,-0.006471862237624955,0.023495344682173326,0.35,0.43556903788162554,full_method,in_envelope,0.7350615999894217,1,0.39999999999999986,degree_shift
0.9696969696969697,0.04521214693461484,-0.00489270719987579,0.016465388283585087,0.35,0.4416498992970647,no_confidence,in_envelope,0.6425520000047982,1,0.39999999999999986,degree_shift
0.9696969696969697,0.04549745316668546,-0.007100529942036014,0.018586858836087343,0.35,0.43793365710153764,no_neighborhood_agreement,in_envelope,0.47212749999016523,1,0.39999999999999986,degree_shift
0.9696969696969697,0.045384237832501416,-0.0064842080496877825,0.023496749184348402,0.35,0.43556834169511927,no_structural_stability,in_envelope,0.3801035999786109,1,0.39999999999999986,degree_shift
0.9696969696969697,0.045386375001586855,-0.006471862237624957,0.023495357325582823,0.35,0.4355687706960663,no_source_consistency,in_envelope,0.6590147000097204,1,0.39999999999999986,degree_shift
0.9696969696969697,0.04536786645262099,-0.00609222156353839,0.023494561874505278,0.35,0.4300684230035341,no_degree_prior,in_envelope,0.6957133999967482,1,0.39999999999999986,degree_shift
0.806060606060606,0.2904593086402203,-0.0326032176115588,0.09357215075781855,0.25,0.39368781925569324,full_method,boundary,0.6808302999997977,1,0.39999999999999986,homophily_shift
0.793939393939394,0.29227452853220465,-0.022524452344646683,0.0991982402223529,0.25,0.4508308548331994,no_confidence,boundary,0.6716524999937974,1,0.39999999999999986,homophily_shift
0.8,0.29041074376924647,-0.030937949510751427,0.07965659499168395,0.25,0.3755097408196198,no_neighborhood_agreement,boundary,0.473335099988617,1,0.39999999999999986,homophily_shift
0.806060606060606,0.2904728435989282,-0.032698159306920535,0.09363658428192141,0.25,0.394491766692033,no_structural_stability,boundary,0.383456900017336,1,0.39999999999999986,homophily_shift
0.806060606060606,0.290460380605926,-0.03260321761155881,0.09357414191419432,0.25,0.39369579908342905,no_source_consistency,boundary,0.7062448000069708,1,0.39999999999999986,homophily_shift
0.806060606060606,0.2904272879379514,-0.03212904282972545,0.09767442526239337,0.25,0.39162824432261567,no_degree_prior,boundary,0.6573355000000447,1,0.39999999999999986,homophily_shift
0.6060606060606061,0.581920826941192,-0.03586488487200408,0.19831696875167615,0.5,0.4187366412584677,full_method,out_envelope,0.7018858999945223,1,0.39999999999999986,homophily_shift
0.6,0.5936825337387999,0.0012846017739796905,0.2060715919191187,0.5,0.44252418428324597,no_confidence,out_envelope,0.6616328999807592,1,0.39999999999999986,homophily_shift
0.6121212121212121,0.5770494458222354,-0.036730565712035264,0.19489587689891008,0.5,0.4166794033449784,no_neighborhood_agreement,out_envelope,0.47961290000239387,1,0.39999999999999986,homophily_shift
0.6,0.582349617173069,-0.03576243545559778,0.20441157402414264,0.5,0.41835447008948157,no_structural_stability,out_envelope,0.392971099994611,1,0.39999999999999986,homophily_shift
0.6,0.5822668434375001,-0.035864884872004066,0.20439385031208845,0.5,0.41910881578047615,no_source_consistency,out_envelope,0.6790643999993335,1,0.39999999999999986,homophily_shift
0.6060606060606061,0.5819712348866738,-0.03629585785147834,0.19831908652276703,0.5,0.42153848749065187,no_degree_prior,out_envelope,0.7202457000094,1,0.39999999999999986,homophily_shift
0.9878787878787879,0.01424470428678532,-0.004340711756250096,0.012209255767591073,0.0,0.4400420369018885,full_method,in_envelope,0.6600525999965612,2,0.39999999999999986,clean
0.9878787878787879,0.014246354156073626,-0.0036145254804771667,0.014678399490587638,0.0,0.44902004825515535,no_confidence,in_envelope,0.6611317999777384,2,0.39999999999999986,clean
0.9878787878787879,0.014194234814201342,-0.004471626243367817,0.012180161837375525,0.0,0.45185372133528373,no_neighborhood_agreement,in_envelope,0.46508470000117086,2,0.39999999999999986,clean
0.9878787878787879,0.01424517623974815,-0.004346145373550042,0.012207941936724115,0.0,0.44026772506023065,no_structural_stability,in_envelope,0.3943213000020478,2,0.39999999999999986,clean
0.9878787878787879,0.014244700514020162,-0.004340711756250095,0.0122092655210784,0.0,0.44004158434856716,no_source_consistency,in_envelope,0.6716502000053879,2,0.39999999999999986,clean
0.9878787878787879,0.014247982162912396,-0.004347819261854091,0.012190842267238731,0.0,0.4409809653839901,no_degree_prior,in_envelope,0.7102974999870639,2,0.39999999999999986,clean
0.9878787878787879,0.01385825398228362,-0.005781019066245853,0.01716732003472068,0.2,0.4419834806569431,full_method,in_envelope,0.7084675999940373,2,0.39999999999999986,feature_noise
0.9878787878787879,0.013898182951762003,-0.005010185771719115,0.017137705557274098,0.2,0.44738645594779924,no_confidence,in_envelope,0.7319000999850687,2,0.39999999999999986,feature_noise
0.9878787878787879,0.013832949139243576,-0.005927670583718815,0.017135354966828317,0.2,0.4550819107973499,no_neighborhood_agreement,in_envelope,0.5454497000027914,2,0.39999999999999986,feature_noise
0.9878787878787879,0.01385860254190197,-0.005779780744111267,0.017168514656298088,0.2,0.4421445005856953,no_structural_stability,in_envelope,0.4395688999793492,2,0.39999999999999986,feature_noise
0.9878787878787879,0.013858255565032325,-0.005781019066245853,0.01716732003472068,0.2,0.44198325105962216,no_source_consistency,in_envelope,0.786888300004648,2,0.39999999999999986,feature_noise
0.9878787878787879,0.013850191658681984,-0.0058110964075561156,0.017171933434226298,0.2,0.4434689383668488,no_degree_prior,in_envelope,0.7484777999925427,2,0.39999999999999986,feature_noise
0.9939393939393939,0.0155482893010437,-0.005363643433642115,0.01808499964800748,0.45,0.4401431744681374,full_method,in_envelope,0.7713199999998324,2,0.39999999999999986,feature_noise
0.9939393939393939,0.015611635042362983,-0.005218664309549306,0.01808172789486972,0.45,0.44930597369806524,no_confidence,in_envelope,0.7725304000196047,2,0.39999999999999986,feature_noise
0.9939393939393939,0.015531864129597157,-0.0048860887276082066,0.01806940779541478,0.45,0.450101670535985,no_neighborhood_agreement,in_envelope,0.52223140001297,2,0.39999999999999986,feature_noise
0.9939393939393939,0.015549803779863659,-0.00530915248569304,0.01808436531009096,0.45,0.4401719247161679,no_structural_stability,in_envelope,0.41335620000609197,2,0.39999999999999986,feature_noise
