accuracy,delta,ece,intensity,measured_homophily,seed,shift,used_homophily
0.896969696969697,0.3,0.06809174833875713,0.25,0.5790500975927131,2,homophily_shift,0.8790500975927131
0.9757575757575757,-0.3,0.023664404767932315,0.45,0.7548301132578281,3,feature_noise,0.45483011325782813
0.9757575757575757,-0.2,0.023661237051992703,0.45,0.7548301132578281,3,feature_noise,0.5548301132578282
0.9757575757575757,-0.1,0.023656856471841986,0.45,0.7548301132578281,3,feature_noise,0.6548301132578281
0.9757575757575757,0.0,0.02365248582579873,0.45,0.7548301132578281,3,feature_noise,0.7548301132578281
0.9757575757575757,0.1,0.023647765860413058,0.45,0.7548301132578281,3,feature_noise,0.8548301132578281
0.9757575757575757,0.2,0.02364293264620232,0.45,0.7548301132578281,3,feature_noise,0.9548301132578281
0.9757575757575757,0.3,0.023640645453424165,0.45,0.7548301132578281,3,feature_noise,1.0
0.9757575757575757,-0.3,0.047141281763712566,0.35,0.6441263573543929,3,edge_add,0.34412635735439295
0.9757575757575757,-0.2,0.04716226223743323,0.35,0.6441263573543929,3,edge_add,0.44412635735439293
0.9757575757575757,-0.1,0.047181098750143334,0.35,0.6441263573543929,3,edge_add,0.544126357354393
0.9757575757575757,0.0,0.0471996419357531,0.35,0.6441263573543929,3,edge_add,0.6441263573543929
0.9757575757575757,0.1,0.0472171740098433,0.35,0.6441263573543929,3,edge_add,0.7441263573543929
0.9757575757575757,0.2,0.04723359382513797,0.35,0.6441263573543929,3,edge_add,0.8441263573543929
0.9757575757575757,0.3,0.0472491058436307,0.35,0.6441263573543929,3,edge_add,0.944126357354393
0.8545454545454545,-0.3,0.07304033637046813,0.25,0.5889407061958695,3,homophily_shift,0.2889407061958695
0.8545454545454545,-0.2,0.07305715969114591,0.25,0.5889407061958695,3,homophily_shift,0.38894070619586946
0.8545454545454545,-0.1,0.07307049198584122,0.25,0.5889407061958695,3,homophily_shift,0.4889407061958695
0.8545454545454545,0.0,0.07792479215246262,0.25,0.5889407061958695,3,homophily_shift,0.5889407061958695
0.8545454545454545,0.1,0.07791468645587116,0.25,0.5889407061958695,3,homophily_shift,0.6889407061958694
0.8545454545454545,0.2,0.077908546816219,0.25,0.5889407061958695,3,homophily_shift,0.7889407061958695
0.8545454545454545,0.3,0.07790184436422408,0.25,0.5889407061958695,3,homophily_shift,0.8889407061958694
0.9818181818181818,-0.3,0.014097207242792313,0.45,0.7491166077738516,4,feature_noise,0.4491166077738516
0.9818181818181818,-0.2,0.014097472393151494,0.45,0.7491166077738516,4,feature_noise,0.5491166077738516
0.9818181818181818,-0.1,0.014097697445840556,0.45,0.7491166077738516,4,feature_noise,0.6491166077738516
0.9818181818181818,0.0,0.01166995872150769,0.45,0.7491166077738516,4,feature_noise,0.7491166077738516
0.9818181818181818,0.1,0.011664059667876283,0.45,0.7491166077738516,4,feature_noise,0.8491166077738516
0.9818181818181818,0.2,0.011658928611061799,0.45,0.7491166077738516,4,feature_noise,0.9491166077738515
0.9818181818181818,0.3,0.011656526002016943,0.45,0.7491166077738516,4,feature_noise,1.0
0.9515151515151515,-0.3,0.023170873613068545,0.35,0.6397905759162303,4,edge_add,0.33979057591623035
0.9515151515151515,-0.2,0.023111988920153988,0.35,0.6397905759162303,4,edge_add,0.43979057591623033
0.9515151515151515,-0.1,0.02305055784456657,0.35,0.6397905759162303,4,edge_add,0.5397905759162304
0.9515151515151515,0.0,0.022991425702066123,0.35,0.6397905759162303,4,edge_add,0.6397905759162303
0.9515151515151515,0.1,0.022930485913247763,0.35,0.6397905759162303,4,edge_add,0.7397905759162303
0.9515151515151515,0.2,0.022864520911014437,0.35,0.6397905759162303,4,edge_add,0.8397905759162303
0.9515151515151515,0.3,0.023491668701171874,0.35,0.6397905759162303,4,edge_add,0.9397905759162304
0.8424242424242424,-0.3,0.06331053069143583,0.25,0.5731448763250884,4,homophily_shift,0.2731448763250884
0.8424242424242424,-0.2,0.06410926002444642,0.25,0.5731448763250884,4,homophily_shift,0.37314487632508836
0.8424242424242424,-0.1,0.07137425126451434,0.25,0.5731448763250884,4,homophily_shift,0.4731448763250884
0.8424242424242424,0.0,0.06408464402863472,0.25,0.5731448763250884,4,homophily_shift,0.5731448763250884
0.8424242424242424,0.1,0.0632443901264306,0.25,0.5731448763250884,4,homophily_shift,0.6731448763250883
0.8424242424242424,0.2,0.06321743040373828,0.25,0.5731448763250884,4,homophily_shift,0.7731448763250883
0.8424242424242424,0.3,0.0631946776852463,0.25,0.5731448763250884,4,homophily_shift,0.8731448763250884
