assumption_holds,corr_r_e,corr_r_eg,cov_r_e,cov_r_eg,error_rate_bottom50_reliability,error_rate_top50_reliability,estimated_homophily,intensity,mean_reliability,seed,shift,spearman_r_e
True,-0.42365049744874245,-0.3891406297903203,-0.016381864220457103,-0.002884499731677123,0.10666666666666667,0.0,0.7405128205128205,0.35,0.42026113589365793,1,edge_drop,-0.11147857198413315
True,-0.4570481352399797,-0.4246845538882947,-0.01710920214396982,-0.0030777317594100602,0.1,0.0,0.6828985507246377,0.15,0.4192946738613192,1,edge_add,-0.18152823920265782
True,-0.47998648532689275,-0.3818864297460689,-0.02315937430149292,-0.0036160312590206587,0.15333333333333332,0.0,0.6232098765432099,0.35,0.4053262616973786,1,edge_add,-0.18628029200324447
True,-0.2815291459291215,-0.31036653592650393,-0.006471862237624955,-0.0014542954221632139,0.03333333333333333,0.006666666666666667,0.7513333333333333,0.35,0.43564076998083484,1,degree_shift,-0.023880265336281514
True,-0.4461422767167377,-0.4070720973920537,-0.0326032176115588,-0.0061709843750026565,0.30666666666666664,0.03333333333333333,0.5646666666666667,0.25,0.39326234275458527,1,homophily_shift,-0.2618353537261525
True,-0.3418203733968601,-0.2762115295686266,-0.03586488487200408,-0.006690039484554798,0.5466666666666666,0.23333333333333334,0.48133333333333334,0.5,0.43472596796420626,1,homophily_shift,-0.2770501894465494
True,-0.26309161146500193,-0.2607037013488883,-0.004340711756250096,-0.000876131269447187,0.02,0.0,0.7644762524398179,0.0,0.4403723262603908,2,clean,-0.0741843798264425
True,-0.3101379055904435,-0.2751355591340612,-0.005781019066245853,-0.0008792352363111079,0.02666666666666667,0.0,0.763825634352635,0.2,0.4420738416668394,2,feature_noise,-0.08041289347659417
True,-0.29122321341619933,-0.2499435118911715,-0.005363643433642115,-0.0006997592325778553,0.02666666666666667,0.0,0.7618737800910865,0.45,0.4397329001932811,2,feature_noise,-0.07900710007888977
True,-0.3531557040161866,-0.3409922453684545,-0.007854345791564531,-0.0014754569933385024,0.04,0.0,0.7605202754399388,0.15,0.4271524702691647,2,edge_drop,-0.07085145390504338
True,-0.42732210626962175,-0.4078072005689557,-0.012346711346279349,-0.002147567042886418,0.06666666666666667,0.0,0.773,0.35,0.4327614823524457,2,edge_drop,-0.08514227935865953
True,-0.38792954351875825,-0.3802752724988119,-0.009550229483980458,-0.0021009043020517666,0.04666666666666667,0.0,0.7079796264855688,0.15,0.43182432835677786,2,edge_add,-0.12025733619262435
True,-0.4128708278159515,-0.3467475780462116,-0.013309308766190076,-0.0018670465027003037,0.07333333333333333,0.0,0.6460945033751205,0.35,0.4130096909413695,2,edge_add,-0.1139630440338226
True,-0.26309161146500193,-0.2607037013488883,-0.004340711756250096,-0.000876131269447187,0.02,0.0,0.7644762524398179,0.35,0.4403723262603908,2,degree_shift,-0.0741843798264425
True,-0.38863996415486507,-0.3437897908485182,-0.02459296244973253,-0.004511083855684408,0.22,0.013333333333333334,0.5790500975927131,0.25,0.40613307460586184,2,homophily_shift,-0.12927032522583584
True,-0.3076804467107637,-0.22204915011760543,-0.03245305466716132,-0.005357505650219075,0.52,0.26666666666666666,0.5009759271307742,0.5,0.44984762904369036,2,homophily_shift,-0.28186535405948954
True,-0.2533156788186682,-0.24755161518157062,-0.00402573405584878,-0.0008810937571779236,0.02,0.0,0.7608261159227182,0.0,0.4211836142336523,3,clean,-0.08806097845531616
True,-0.25884480607485266,-0.22763769604001963,-0.004058181073342916,-0.0006923577719553551,0.02,0.0,0.7608261159227182,0.2,0.4223779837195171,3,feature_noise,-0.0839031544794942
