delta_t,drift_high,drift_low,drift_mid,intensity,phi_t,seed,shift,step
0.0,0.0,0.0,0.0,0.35,0.0,1,edge_add,0
5.350510279337565e-05,7.301568984985352e-05,2.6941299438476562e-05,6.0558319091796875e-05,0.35,0.0,1,edge_add,1
0.00010607639948527019,0.00014483928680419922,5.412101745605469e-05,0.00011926889419555664,0.35,0.0,1,edge_add,2
0.00015723705291748047,0.00021409988403320312,8.118152618408203e-05,0.00017642974853515625,0.35,0.0,1,edge_add,3
0.00020913283030192056,0.000284731388092041,0.00010818243026733398,0.00023448467254638672,0.35,0.0,1,edge_add,4
0.0002587437629699707,0.00035113096237182617,0.00013518333435058594,0.0002899169921875,0.35,0.0,1,edge_add,5
0.0003097256024678548,0.0004197359085083008,0.00016194581985473633,0.00034749507904052734,0.35,0.0,1,edge_add,6
0.0003602902094523112,0.0004884004592895508,0.00018852949142456055,0.00040394067764282227,0.35,0.0,1,edge_add,7
0.0004119475682576497,0.000559389591217041,0.00021457672119140625,0.00046187639236450195,0.35,0.0,1,edge_add,8
0.00046179691950480145,0.0006268620491027832,0.0002410411834716797,0.0005174875259399414,0.35,0.0,1,edge_add,9
0.0005118250846862793,0.0006944537162780762,0.0002670884132385254,0.0005739331245422363,0.35,0.0,1,edge_add,10
0.0005613962809244791,0.0007611513137817383,0.0002930164337158203,0.0006300210952758789,0.35,0.0,1,edge_add,11
0.0006108880043029785,0.0008281469345092773,0.00031894445419311523,0.000685572624206543,0.35,0.0,1,edge_add,12
0.0006591280301411947,0.0008932948112487793,0.00034505128860473633,0.0007390379905700684,0.35,0.0,1,edge_add,13
0.0007073680559794108,0.0009580254554748535,0.00037097930908203125,0.0007930994033813477,0.35,0.0,1,edge_add,14
0.0007559061050415039,0.0010232925415039062,0.00039654970169067383,0.0008478760719299316,0.35,0.0,1,edge_add,15
0.0008035699526468912,0.0010873079299926758,0.0004222393035888672,0.0009011626243591309,0.35,0.0,1,edge_add,16
0.0008518695831298828,0.0011529922485351562,0.0004475116729736328,0.0009551048278808594,0.35,0.0,1,edge_add,17
0.0009002685546875,0.0012183189392089844,0.00047260522842407227,0.0010098814964294434,0.35,0.0,1,edge_add,18
0.0009479721387227377,0.00128251314163208,0.0004977583885192871,0.0010636448860168457,0.35,0.0,1,edge_add,19
0.000994265079498291,0.0013442635536193848,0.0005231499671936035,0.0011153817176818848,0.35,0.0,1,edge_add,20
0.001042187213897705,0.0014091730117797852,0.0005477666854858398,0.0011696219444274902,0.35,0.0,1,edge_add,21
0.0010879834493001301,0.0014709830284118652,0.0005730986595153809,0.0012198686599731445,0.35,0.0,1,edge_add,22
0.001135428746541341,0.00153428316116333,0.0005974769592285156,0.0012745261192321777,0.35,0.0,1,edge_add,23
0.001181960105895996,0.0015965104103088379,0.0006219148635864258,0.0013274550437927246,0.35,0.0,1,edge_add,24
0.0012283722559611003,0.0016582012176513672,0.0006463527679443359,0.0013805627822875977,0.35,0.0,1,edge_add,25
0.0012743473052978516,0.0017197132110595703,0.0006707310676574707,0.0014325976371765137,0.35,0.0,1,edge_add,26
0.0013199249903361003,0.001780390739440918,0.0006951689720153809,0.001484215259552002,0.35,0.0,1,edge_add,27
0.001365204652150472,0.0018412470817565918,0.0007195472717285156,0.0015348196029663086,0.35,0.0,1,edge_add,28
0.0014115571975708008,0.001904308795928955,0.0007431507110595703,0.001587212085723877,0.35,0.0,1,edge_add,29
0.0014571348826090496,0.001965820789337158,0.0007669925689697266,0.0016385912895202637,0.35,0.0,1,edge_add,30
0.00150221586227417,0.0020266175270080566,0.0007907748222351074,0.0016892552375793457,0.35,0.0,1,edge_add,31
0.0015470186869303386,0.002085864543914795,0.0008143782615661621,0.0017408132553100586,0.35,0.0,1,edge_add,32
0.0015907883644104004,0.0021445155143737793,0.0008383393287658691,0.0017895102500915527,0.35,0.0,1,edge_add,33
0.0016352335611979167,0.002204596996307373,0.0008620023727416992,0.0018391013145446777,0.35,0.0,1,edge_add,34
0.0016781290372212727,0.0022615790367126465,0.0008860230445861816,0.0018867850303649902,0.35,0.0,1,edge_add,35
0.001722852389017741,0.0023221373558044434,0.0009092092514038086,0.0019372105598449707,0.35,0.0,1,edge_add,36
0.001766502857208252,0.00238037109375,0.0009325146675109863,0.0019866228103637695,0.35,0.0,1,edge_add,37
0.001809557278951009,0.0024377107620239258,0.0009557008743286133,0.0020352602005004883,0.35,0.0,1,edge_add,38
0.001852850119272868,0.0024958252906799316,0.0009789466857910156,0.0020837783813476562,0.35,0.0,1,edge_add,39
0.0018958846728007,0.002553582191467285,0.0010019540786743164,0.002132117748260498,0.35,0.0,1,edge_add,40
0.001939217249552409,0.0026115775108337402,0.0010248422622680664,0.00218123197555542,0.35,0.0,1,edge_add,41
0.001983006795247396,0.0026701688766479492,0.0010471940040588379,0.0022316575050354004,0.35,0.0,1,edge_add,42
0.0020259817441304526,0.0027273893356323242,0.0010696649551391602,0.002280890941619873,0.35,0.0,1,edge_add,43
0.002067863941192627,0.0027831196784973145,0.0010924935340881348,0.0023279786109924316,0.35,0.0,1,edge_add,44
0.002109527587890625,0.0028386712074279785,0.0011153817176818848,0.0023745298385620117,0.35,0.0,1,edge_add,45
0.0021512905756632486,0.002894282341003418,0.0011380314826965332,0.002421557903289795,0.35,0.0,1,edge_add,46
0.0021934707959493003,0.002950906753540039,0.001160264015197754,0.0024692416191101074,0.35,0.0,1,edge_add,47
0.002235154310862223,0.0030061006546020508,0.0011826157569885254,0.0025167465209960938,0.35,0.0,1,edge_add,48
0.0022763808568318686,0.00306016206741333,0.0012049078941345215,0.002564072608947754,0.35,0.0,1,edge_add,49
0.002317031224568685,0.003114044666290283,0.0012274384498596191,0.0026096105575561523,0.35,0.0,1,edge_add,50
0.002358098824818929,0.003168642520904541,0.001249551773071289,0.002656102180480957,0.35,0.0,1,edge_add,51
0.0023983518282572427,0.003221750259399414,0.0012718439102172852,0.0027014613151550293,0.35,0.0,1,edge_add,52
0.0024378299713134766,0.003274261951446533,0.0012943744659423828,0.0027448534965515137,0.35,0.0,1,edge_add,53
0.0024782816569010415,0.0033274292945861816,0.0013161897659301758,0.0027912259101867676,0.35,0.0,1,edge_add,54
0.002517839272816976,0.0033789873123168945,0.0013385415077209473,0.002835988998413086,0.35,0.0,1,edge_add,55
0.002557377020517985,0.0034311413764953613,0.0013605952262878418,0.002880394458770752,0.35,0.0,1,edge_add,56
0.0025969743728637695,0.003483414649963379,0.0013824105262756348,0.002925097942352295,0.35,0.0,1,edge_add,57
0.00263748566309611,0.0035372376441955566,0.0014035701751708984,0.002971649169921875,0.35,0.0,1,edge_add,58
0.002677321434020996,0.003590226173400879,0.0014249086380004883,0.003016829490661621,0.35,0.0,1,edge_add,59
0.0,0.0,0.0,0.0,0.5,0.0,1,homophily_shift,0
0.0002069671948750814,-0.00010073184967041016,0.0002446770668029785,0.00027549266815185547,0.5,0.0033333333333333335,1,homophily_shift,1
0.0004279017448425293,-0.0002167820930480957,0.000513911247253418,0.0005530118942260742,0.5,0.0033333333333333335,1,homophily_shift,2
0.0006648500760396322,-0.00033986568450927734,0.0007796883583068848,0.0008749961853027344,0.5,0.006666666666666667,1,homophily_shift,3
0.0009138981501261393,-0.0004673600196838379,0.0010466575622558594,0.0012276768684387207,0.5,0.01,1,homophily_shift,4
0.001145501931508382,-0.0005384683609008789,0.0013148188591003418,0.0015832185745239258,0.5,0.01,1,homophily_shift,5
0.001375436782836914,-0.0006172657012939453,0.0015773773193359375,0.0019316673278808594,0.5,0.01,1,homophily_shift,6
0.001610418160756429,-0.0007094144821166992,0.0018401145935058594,0.0022817254066467285,0.5,0.01,1,homophily_shift,7
0.0018474260965983074,-0.0008110404014587402,0.0021010637283325195,0.002630174160003662,0.5,0.01,1,homophily_shift,8
0.0020851492881774902,-0.0009208321571350098,0.002364814281463623,0.002969801425933838,0.5,0.013333333333333334,1,homophily_shift,9
0.002324839433034261,-0.0010402798652648926,0.0026297569274902344,0.0033044815063476562,0.5,0.013333333333333334,1,homophily_shift,10
0.002565105756123861,-0.0011733174324035645,0.0028902292251586914,0.003631770610809326,0.5,0.013333333333333334,1,homophily_shift,11
0.0028130014737447104,-0.00131988525390625,0.003156602382659912,0.003962516784667969,0.5,0.016666666666666666,1,homophily_shift,12
0.003066559632619222,-0.0014789700508117676,0.0034328103065490723,0.004287898540496826,0.5,0.016666666666666666,1,homophily_shift,13
0.003330787022908529,-0.001652061939239502,0.0037280917167663574,0.0046122074127197266,0.5,0.023333333333333334,1,homophily_shift,14
0.003620286782582601,-0.001835942268371582,0.004096925258636475,0.004927992820739746,0.5,0.023333333333333334,1,homophily_shift,15
0.003918906052907308,-0.002041339874267578,0.004474520683288574,0.0052408576011657715,0.5,0.02666666666666667,1,homophily_shift,16
0.004219949245452881,-0.0022542476654052734,0.004859030246734619,0.00554656982421875,0.5,0.02666666666666667,1,homophily_shift,17
0.004523336887359619,-0.0024746060371398926,0.0052449703216552734,0.005850434303283691,0.5,0.03,1,homophily_shift,18
0.0048086245854695635,-0.0026500821113586426,0.005627572536468506,0.006148219108581543,0.5,0.03,1,homophily_shift,19
0.005090932051340739,-0.002834916114807129,0.006001651287078857,0.0064362287521362305,0.5,0.03,1,homophily_shift,20
0.005376935005187988,-0.003035902976989746,0.0063748955726623535,0.006720006465911865,0.5,0.03,1,homophily_shift,21
0.005657037099202474,-0.0032448768615722656,0.006736576557159424,0.006989657878875732,0.5,0.03,1,homophily_shift,22
0.005936900774637858,-0.003464341163635254,0.007092773914337158,0.007253587245941162,0.5,0.03,1,homophily_shift,23
0.0062197645505269366,-0.003696739673614502,0.007445394992828369,0.0075171589851379395,0.5,0.03333333333333333,1,homophily_shift,24
0.0065120259920756025,-0.00391620397567749,0.007799685001373291,0.007820188999176025,0.5,0.03666666666666667,1,homophily_shift,25
0.006811698277791341,-0.0041335225105285645,0.008161067962646484,0.008140504360198975,0.5,0.043333333333333335,1,homophily_shift,26
0.007122695446014404,-0.004365384578704834,0.008529901504516602,0.008472800254821777,0.5,0.043333333333333335,1,homophily_shift,27
0.007387479146321614,-0.004465937614440918,0.008891701698303223,0.008804798126220703,0.5,0.05,1,homophily_shift,28
0.007641990979512532,-0.004521310329437256,0.009251773357391357,0.009152889251708984,0.5,0.05333333333333334,1,homophily_shift,29
