accuracy,decile,deg_hi,deg_lo,ece,intensity,mean_reliability,method,n_decile,seed,selected_fraction,shift
0.9285714285714286,6,12.0,11.0,0.08122869474547248,0.25,0.39374362213114716,no_degree_prior,14,3,0.39999999999999986,homophily_shift
0.9411764705882353,7,13.0,12.0,0.05294435515123254,0.25,1.0,source_only,17,3,1.0,homophily_shift
0.9411764705882353,7,13.0,12.0,0.05645388715407426,0.25,0.38996620720898795,full_method,17,3,0.39999999999999986,homophily_shift
0.9411764705882353,7,13.0,12.0,0.0562391211004818,0.25,0.39374362213114716,no_degree_prior,17,3,0.39999999999999986,homophily_shift
0.8947368421052632,8,15.0,13.0,0.1439690025229203,0.25,1.0,source_only,19,3,1.0,homophily_shift
0.8947368421052632,8,15.0,13.0,0.1460832859340467,0.25,0.38996620720898795,full_method,19,3,0.39999999999999986,homophily_shift
0.8947368421052632,8,15.0,13.0,0.14673011867623584,0.25,0.39374362213114716,no_degree_prior,19,3,0.39999999999999986,homophily_shift
0.875,9,18.0,15.0,0.12736164405941963,0.25,1.0,source_only,8,3,1.0,homophily_shift
0.875,9,18.0,15.0,0.11889887228608131,0.25,0.38996620720898795,full_method,8,3,0.39999999999999986,homophily_shift
0.875,9,18.0,15.0,0.11849390342831612,0.25,0.39374362213114716,no_degree_prior,8,3,0.39999999999999986,homophily_shift
0.9166666666666666,0,6.0,2.0,0.07795644799868265,0.0,1.0,source_only,24,4,1.0,clean
0.9166666666666666,0,6.0,2.0,0.07594438642263411,0.0,0.43466227209051767,full_method,24,4,0.39999999999999986,clean
0.9166666666666666,0,6.0,2.0,0.07599126050869624,0.0,0.4356412557615478,no_degree_prior,24,4,0.39999999999999986,clean
0.9523809523809523,1,7.0,6.0,0.02265795071919759,0.0,1.0,source_only,21,4,1.0,clean
0.9523809523809523,1,7.0,6.0,0.024517013913109186,0.0,0.43466227209051767,full_method,21,4,0.39999999999999986,clean
0.9523809523809523,1,7.0,6.0,0.024403691291809082,0.0,0.4356412557615478,no_degree_prior,21,4,0.39999999999999986,clean
1.0,2,8.0,7.0,0.048339806497097015,0.0,1.0,source_only,16,4,1.0,clean
1.0,2,8.0,7.0,0.04653570428490639,0.0,0.43466227209051767,full_method,16,4,0.39999999999999986,clean
1.0,2,8.0,7.0,0.04654611274600029,0.0,0.4356412557615478,no_degree_prior,16,4,0.39999999999999986,clean
0.9565217391304348,3,9.0,8.0,0.03558431241823279,0.0,1.0,source_only,23,4,1.0,clean
0.9565217391304348,3,9.0,8.0,0.03450890468514484,0.0,0.43466227209051767,full_method,23,4,0.39999999999999986,clean
0.9565217391304348,3,9.0,8.0,0.03448943728985994,0.0,0.4356412557615478,no_degree_prior,23,4,0.39999999999999986,clean
1.0,5,10.0,9.0,0.010246650739149614,0.0,1.0,source_only,22,4,1.0,clean
1.0,5,10.0,9.0,0.010117780078541149,0.0,0.43466227209051767,full_method,22,4,0.39999999999999986,clean
1.0,5,10.0,9.0,0.01008104465224526,0.0,0.4356412557615478,no_degree_prior,22,4,0.39999999999999986,clean
1.0,6,11.0,10.0,0.011188651386060212,0.0,1.0,source_only,19,4,1.0,clean
1.0,6,11.0,10.0,0.009552102339895147,0.0,0.43466227209051767,full_method,19,4,0.39999999999999986,clean
1.0,6,11.0,10.0,0.009582036419918661,0.0,0.4356412557615478,no_degree_prior,19,4,0.39999999999999986,clean
0.9166666666666666,7,12.0,11.0,0.07152719795703888,0.0,1.0,source_only,12,4,1.0,clean
0.9166666666666666,7,12.0,11.0,0.06991146008173624,0.0,0.43466227209051767,full_method,12,4,0.39999999999999986,clean
0.9166666666666666,7,12.0,11.0,0.06988188624382019,0.0,0.4356412557615478,no_degree_prior,12,4,0.39999999999999986,clean
1.0,8,13.0,12.0,0.002183377742767334,0.0,1.0,source_only,13,4,1.0,clean
1.0,8,13.0,12.0,0.0021547675132751465,0.0,0.43466227209051767,full_method,13,4,0.39999999999999986,clean
1.0,8,13.0,12.0,0.002152085304260254,0.0,0.4356412557615478,no_degree_prior,13,4,0.39999999999999986,clean
1.0,9,20.0,13.0,0.004127919673919678,0.0,1.0,source_only,15,4,1.0,clean
1.0,9,20.0,13.0,0.0031540393829345703,0.0,0.43466227209051767,full_method,15,4,0.39999999999999986,clean
