accuracy,debiased,ece,intensity,method,n_bins,seed,shift
0.9212121212121213,False,0.058851674470034525,0.35,source_only,25,1,edge_drop
0.9212121212121213,True,0.05860925022761028,0.35,source_only,25,1,edge_drop
0.9212121212121213,False,0.038991790468042575,0.35,full_method,5,1,edge_drop
0.9212121212121213,True,0.03777966925592136,0.35,full_method,5,1,edge_drop
0.9212121212121213,False,0.03899184573780407,0.35,full_method,10,1,edge_drop
0.9212121212121213,True,0.03838578513174347,0.35,full_method,10,1,edge_drop
0.9212121212121213,False,0.05488702456156409,0.35,full_method,15,1,edge_drop
0.9212121212121213,True,0.05448298415752369,0.35,full_method,15,1,edge_drop
0.9212121212121213,False,0.042582389441403475,0.35,full_method,20,1,edge_drop
0.9212121212121213,True,0.04227935913837317,0.35,full_method,20,1,edge_drop
0.9212121212121213,False,0.059080335226925955,0.35,full_method,25,1,edge_drop
0.9212121212121213,True,0.05883791098450171,0.35,full_method,25,1,edge_drop
0.9272727272727272,False,0.0121127587376219,0.35,source_only,5,1,edge_add
0.9272727272727272,True,0.01090063752550069,0.35,source_only,5,1,edge_add
0.9272727272727272,False,0.01786581639087561,0.35,source_only,10,1,edge_add
0.9272727272727272,True,0.017259755784815003,0.35,source_only,10,1,edge_add
0.9272727272727272,False,0.0405849601283218,0.35,source_only,15,1,edge_add
0.9272727272727272,True,0.040180919724281394,0.35,source_only,15,1,edge_add
0.9272727272727272,False,0.028247978470542213,0.35,source_only,20,1,edge_add
0.9272727272727272,True,0.02794494816751191,0.35,source_only,20,1,edge_add
0.9272727272727272,False,0.06893539248090802,0.35,source_only,25,1,edge_add
0.9272727272727272,True,0.06869296823848378,0.35,source_only,25,1,edge_add
0.9272727272727272,False,0.011981683788877564,0.35,full_method,5,1,edge_add
0.9272727272727272,True,0.010769562576756351,0.35,full_method,5,1,edge_add
0.9272727272727272,False,0.01838959852854413,0.35,full_method,10,1,edge_add
0.9272727272727272,True,0.017783537922483522,0.35,full_method,10,1,edge_add
0.9272727272727272,False,0.042285579262357764,0.35,full_method,15,1,edge_add
0.9272727272727272,True,0.04188153885831736,0.35,full_method,15,1,edge_add
0.9272727272727272,False,0.028508042927944302,0.35,full_method,20,1,edge_add
0.9272727272727272,True,0.028205012624914,0.35,full_method,20,1,edge_add
0.9272727272727272,False,0.044442093011104696,0.35,full_method,25,1,edge_add
0.9272727272727272,True,0.04419966876868045,0.35,full_method,25,1,edge_add
0.793939393939394,False,0.08033973159212056,0.25,source_only,5,1,homophily_shift
0.793939393939394,True,0.07912761037999935,0.25,source_only,5,1,homophily_shift
0.793939393939394,False,0.0803397946285479,0.25,source_only,10,1,homophily_shift
0.793939393939394,True,0.07973373402248729,0.25,source_only,10,1,homophily_shift
0.793939393939394,False,0.08579911427064377,0.25,source_only,15,1,homophily_shift
0.793939393939394,True,0.08539507386660336,0.25,source_only,15,1,homophily_shift
0.793939393939394,False,0.08635408950574472,0.25,source_only,20,1,homophily_shift
0.793939393939394,True,0.08605105920271441,0.25,source_only,20,1,homophily_shift
0.793939393939394,False,0.08635405952280217,0.25,source_only,25,1,homophily_shift
0.793939393939394,True,0.08611163528037794,0.25,source_only,25,1,homophily_shift
0.806060606060606,False,0.07423114126378835,0.25,full_method,5,1,homophily_shift
0.806060606060606,True,0.07301902005166715,0.25,full_method,5,1,homophily_shift
0.806060606060606,False,0.0760347272410537,0.25,full_method,10,1,homophily_shift
0.806060606060606,True,0.07542866663499309,0.25,full_method,10,1,homophily_shift
0.806060606060606,False,0.09357215075781855,0.25,full_method,15,1,homophily_shift
0.806060606060606,True,0.09316811035377814,0.25,full_method,15,1,homophily_shift
0.806060606060606,False,0.09071770147843798,0.25,full_method,20,1,homophily_shift
0.806060606060606,True,0.09041467117540768,0.25,full_method,20,1,homophily_shift
0.806060606060606,False,0.08722208648016957,0.25,full_method,25,1,homophily_shift
0.806060606060606,True,0.08697966223774534,0.25,full_method,25,1,homophily_shift
0.6060606060606061,False,0.18597405137437764,0.5,source_only,5,1,homophily_shift
0.6060606060606061,True,0.18476193016225642,0.5,source_only,5,1,homophily_shift
0.6060606060606061,False,0.18597402464259755,0.5,source_only,10,1,homophily_shift
0.6060606060606061,True,0.18536796403653694,0.5,source_only,10,1,homophily_shift
0.6060606060606061,False,0.1859740040519021,0.5,source_only,15,1,homophily_shift
0.6060606060606061,True,0.18556996364786169,0.5,source_only,15,1,homophily_shift
0.6060606060606061,False,0.19958554361805766,0.5,source_only,20,1,homophily_shift
0.6060606060606061,True,0.19928251331502736,0.5,source_only,20,1,homophily_shift
0.6060606060606061,False,0.20288296215461962,0.5,source_only,25,1,homophily_shift
0.6060606060606061,True,0.20264053791219538,0.5,source_only,25,1,homophily_shift
0.6060606060606061,False,0.19831694057493504,0.5,full_method,5,1,homophily_shift
0.6060606060606061,True,0.19710481936281382,0.5,full_method,5,1,homophily_shift
0.6060606060606061,False,0.19831692377726237,0.5,full_method,10,1,homophily_shift
0.6060606060606061,True,0.19771086317120176,0.5,full_method,10,1,homophily_shift
0.6060606060606061,False,0.19831696875167615,0.5,full_method,15,1,homophily_shift
0.6060606060606061,True,0.19791292834763574,0.5,full_method,15,1,homophily_shift
0.6060606060606061,False,0.2011065423488617,0.5,full_method,20,1,homophily_shift
0.6060606060606061,True,0.20080351204583138,0.5,full_method,20,1,homophily_shift
0.6060606060606061,False,0.20618315953196903,0.5,full_method,25,1,homophily_shift
0.6060606060606061,True,0.2059407352895448,0.5,full_method,25,1,homophily_shift
0.9878787878787879,False,0.012210562373652603,0.0,source_only,5,2,clean
0.9878787878787879,True,0.01099844116153139,0.0,source_only,5,2,clean
0.9878787878787879,False,0.012210562373652603,0.0,source_only,10,2,clean
0.9878787878787879,True,0.011604501767591997,0.0,source_only,10,2,clean
0.9878787878787879,False,0.012210462310097436,0.0,source_only,15,2,clean
0.9878787878787879,True,0.011806421906057032,0.0,source_only,15,2,clean
0.9878787878787879,False,0.015439324667959501,0.0,source_only,20,2,clean
0.9878787878787879,True,0.015136294364929198,0.0,source_only,20,2,clean
0.9878787878787879,False,0.01543938499508482,0.0,source_only,25,2,clean
0.9878787878787879,True,0.015196960752660579,0.0,source_only,25,2,clean
0.9878787878787879,False,0.012209353302464341,0.0,full_method,5,2,clean
0.9878787878787879,True,0.010997232090343128,0.0,full_method,5,2,clean
0.9878787878787879,False,0.01220935294122407,0.0,full_method,10,2,clean
0.9878787878787879,True,0.011603292335163464,0.0,full_method,10,2,clean
0.9878787878787879,False,0.012209255767591073,0.0,full_method,15,2,clean
0.9878787878787879,True,0.01180521536355067,0.0,full_method,15,2,clean
0.9878787878787879,False,0.015331248803572221,0.0,full_method,20,2,clean
0.9878787878787879,True,0.015028218500541918,0.0,full_method,20,2,clean
0.9878787878787879,False,0.015331176916758218,0.0,full_method,25,2,clean
0.9878787878787879,True,0.015088752674333976,0.0,full_method,25,2,clean
0.9939393939393939,False,0.009924657417066204,0.45,source_only,5,2,feature_noise
0.9939393939393939,True,0.008712536204944991,0.45,source_only,5,2,feature_noise
0.9939393939393939,False,0.011539607698267135,0.45,source_only,10,2,feature_noise
0.9939393939393939,True,0.010933547092206529,0.45,source_only,10,2,feature_noise
0.9939393939393939,False,0.01991708314780033,0.45,source_only,15,2,feature_noise
0.9939393939393939,True,0.019513042743759926,0.45,source_only,15,2,feature_noise
0.9939393939393939,False,0.01904694058678367,0.45,source_only,20,2,feature_noise
0.9939393939393939,True,0.018743910283753367,0.45,source_only,20,2,feature_noise
0.9939393939393939,False,0.01854381380659161,0.45,source_only,25,2,feature_noise
0.9939393939393939,True,0.018301389564167367,0.45,source_only,25,2,feature_noise
0.9939393939393939,False,0.00954549565459746,0.45,full_method,5,2,feature_noise
0.9939393939393939,True,0.008333374442476248,0.45,full_method,5,2,feature_noise
0.9939393939393939,False,0.010737687529939591,0.45,full_method,10,2,feature_noise
0.9939393939393939,True,0.010131626923878985,0.45,full_method,10,2,feature_noise
0.9939393939393939,False,0.01808499964800748,0.45,full_method,15,2,feature_noise
0.9939393939393939,True,0.017680959243967075,0.45,full_method,15,2,feature_noise
0.9939393939393939,False,0.018392027869369044,0.45,full_method,20,2,feature_noise
0.9939393939393939,True,0.018088997566338742,0.45,full_method,20,2,feature_noise
0.9939393939393939,False,0.0183439446218086,0.45,full_method,25,2,feature_noise
0.9939393939393939,True,0.018101520379384357,0.45,full_method,25,2,feature_noise
0.9636363636363636,False,0.017820489767825957,0.35,source_only,5,2,edge_drop
0.9636363636363636,True,0.016608368555704744,0.35,source_only,5,2,edge_drop
0.9636363636363636,False,0.017820453643798844,0.35,source_only,10,2,edge_drop
0.9636363636363636,True,0.017214393037738238,0.35,source_only,10,2,edge_drop
0.9636363636363636,False,0.025104212760925292,0.35,source_only,15,2,edge_drop
0.9636363636363636,True,0.02470017235688489,0.35,source_only,15,2,edge_drop
0.9636363636363636,False,0.033000728578278515,0.35,source_only,20,2,edge_drop
0.9636363636363636,True,0.03269769827524821,0.35,source_only,20,2,edge_drop
0.9636363636363636,False,0.03888367197730325,0.35,source_only,25,2,edge_drop
0.9636363636363636,True,0.038641247734879,0.35,source_only,25,2,edge_drop
0.9636363636363636,False,0.01785349882010257,0.35,full_method,5,2,edge_drop
0.9636363636363636,True,0.01664137760798136,0.35,full_method,5,2,edge_drop
0.9636363636363636,False,0.01785341428987909,0.35,full_method,10,2,edge_drop
0.9636363636363636,True,0.017247353683818484,0.35,full_method,10,2,edge_drop
0.9636363636363636,False,0.025039768580234413,0.35,full_method,15,2,edge_drop
0.9636363636363636,True,0.02463572817619401,0.35,full_method,15,2,edge_drop
0.9636363636363636,False,0.03287467667550752,0.35,full_method,20,2,edge_drop
0.9636363636363636,True,0.03257164637247722,0.35,full_method,20,2,edge_drop
0.9636363636363636,False,0.03353933999032686,0.35,full_method,25,2,edge_drop
0.9636363636363636,True,0.03329691574790261,0.35,full_method,25,2,edge_drop
0.9696969696969697,False,0.03663006822268169,0.35,source_only,5,2,edge_add
0.9696969696969697,True,0.035417947010560474,0.35,source_only,5,2,edge_add
0.9696969696969697,False,0.047179550654960406,0.35,source_only,10,2,edge_add
0.9696969696969697,True,0.0465734900488998,0.35,source_only,10,2,edge_add
0.9696969696969697,False,0.04717957305185722,0.35,source_only,15,2,edge_add
0.9696969696969697,True,0.046775532647816816,0.35,source_only,15,2,edge_add
0.9696969696969697,False,0.04916851827592561,0.35,source_only,20,2,edge_add
0.9696969696969697,True,0.048865487972895305,0.35,source_only,20,2,edge_add
0.9696969696969697,False,0.04916854681390704,0.35,source_only,25,2,edge_add
0.9696969696969697,True,0.048926122571482794,0.35,source_only,25,2,edge_add
0.9696969696969697,False,0.0396345803231904,0.35,full_method,5,2,edge_add
0.9696969696969697,True,0.03842245911106919,0.35,full_method,5,2,edge_add
0.9696969696969697,False,0.0450418183297822,0.35,full_method,10,2,edge_add
0.9696969696969697,True,0.044435757723721596,0.35,full_method,10,2,edge_add
0.9696969696969697,False,0.0450417955716451,0.35,full_method,15,2,edge_add
0.9696969696969697,True,0.044637755167604695,0.35,full_method,15,2,edge_add
0.9696969696969697,False,0.04504180460265189,0.35,full_method,20,2,edge_add
0.9696969696969697,True,0.044738774299621586,0.35,full_method,20,2,edge_add
0.9696969696969697,False,0.048037761630433974,0.35,full_method,25,2,edge_add
0.9696969696969697,True,0.04779533738800973,0.35,full_method,25,2,edge_add
0.8909090909090909,False,0.04705121788111599,0.25,source_only,5,2,homophily_shift
0.8909090909090909,True,0.04583909666899478,0.25,source_only,5,2,homophily_shift
0.8909090909090909,False,0.07110854640151514,0.25,source_only,10,2,homophily_shift
0.8909090909090909,True,0.07050248579545453,0.25,source_only,10,2,homophily_shift
0.8909090909090909,False,0.05841877370169671,0.25,source_only,15,2,homophily_shift
0.8909090909090909,True,0.0580147332976563,0.25,source_only,15,2,homophily_shift
