accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.24444444444444444,texas,,0.13052002829838397,0.06093189964157706,0.05,entropy_all_nodes,1.497810518309731,2,edge_add
0.22962962962962963,texas,False,0.1397238170526037,0.06093189964157706,0.05,full_method,1.5004864645775,2,edge_add
0.3851851851851852,texas,,0.08701266877603227,0.06093189964157706,0.0,source_only,1.3665428124644008,3,clean
0.362962962962963,texas,,0.1036187826922157,0.06093189964157706,0.0,entropy_all_nodes,1.3716888179340943,3,clean
0.34814814814814815,texas,False,0.11555820172977714,0.06093189964157706,0.0,full_method,1.3815235683967064,3,clean
0.2,texas,,0.40288393047648796,0.06093189964157706,0.1,source_only,2.4823846226188686,3,feature_noise
0.1925925925925926,texas,,0.4119659475945696,0.06093189964157706,0.1,entropy_all_nodes,2.500976327944925,3,feature_noise
0.1925925925925926,texas,False,0.41272749456010804,0.06093189964157706,0.1,full_method,2.5120984144685297,3,feature_noise
0.3851851851851852,texas,,0.07600812050118344,0.06093189964157706,0.1,source_only,1.4171621040517737,3,edge_drop
0.3851851851851852,texas,,0.07036650131885328,0.06093189964157706,0.1,entropy_all_nodes,1.4216500263283811,3,edge_drop
0.37777777777777777,texas,False,0.08475330337288373,0.06093189964157706,0.1,full_method,1.4286911142710041,3,edge_drop
0.37777777777777777,texas,,0.07907892141152022,0.06093189964157706,0.05,source_only,1.3629879920369308,3,edge_add
0.37037037037037035,texas,,0.09534717327621778,0.06093189964157706,0.05,entropy_all_nodes,1.3678949780389875,3,edge_add
0.34814814814814815,texas,False,0.07855929601133331,0.06093189964157706,0.05,full_method,1.3767125181282023,3,edge_add
0.0962962962962963,texas,,0.3050924436567409,0.06093189964157706,0.0,source_only,1.3165714356476765,4,clean
0.08888888888888889,texas,,0.31835297974702914,0.06093189964157706,0.0,entropy_all_nodes,1.3267002442983602,4,clean
0.08888888888888889,texas,False,0.32131850024280084,0.06093189964157706,0.0,full_method,1.3316566652662147,4,clean
0.17777777777777778,texas,,0.3862952313218447,0.06093189964157706,0.1,source_only,2.5994420767229482,4,feature_noise
0.16296296296296298,texas,,0.405910093379863,0.06093189964157706,0.1,entropy_all_nodes,2.6394403648443334,4,feature_noise
0.17037037037037037,texas,False,0.40243382388262633,0.06093189964157706,0.1,full_method,2.6478731502710446,4,feature_noise
0.0962962962962963,texas,,0.3119960457144699,0.06093189964157706,0.1,source_only,1.315821456008276,4,edge_drop
