accuracy,brier,dataset,detector_triggered,ece,intensity,macro_f1,method,nll,runtime_seconds,seed,shift
0.6181818181818182,0.4947068436905907,synthetic,,0.0897022566358601,0.5,0.6176487206700925,source_only,0.8383957725217048,0.0,1,homophily_shift
0.6242424242424243,0.5404952761506554,synthetic,,0.16134673048210008,0.5,0.6207414501901121,tent_full,0.9411341598282448,0.0379263999639079,1,homophily_shift
0.6242424242424243,0.5440007984620125,synthetic,,0.16547231105242122,0.5,0.6207414501901121,eata_full,0.9501021704695456,0.07335650001186877,1,homophily_shift
0.6060606060606061,0.559318003390015,synthetic,,0.14735843253785533,0.5,0.6017985125084516,matcha_full,0.9670379821480042,0.10116279998328537,1,homophily_shift
0.6303030303030303,0.5276202585397392,synthetic,,0.13162520025835348,0.5,0.628994909124034,gtrans_full,0.9119798545309993,0.046545299934223294,1,homophily_shift
0.6060606060606061,0.5248340312105368,synthetic,False,0.12786313346556522,0.5,0.6063915373884221,full_method,0.8985313832097772,0.3070748000172898,1,homophily_shift
0.8727272727272727,0.1992444295841012,synthetic,,0.10296663377677644,0.25,0.8709234781830998,source_only,0.3682262597614297,0.0,2,homophily_shift
0.8727272727272727,0.1882176298534993,synthetic,,0.0709398554010954,0.25,0.8709129831755412,tent_full,0.3388811639748068,0.03980719996616244,2,homophily_shift
0.8787878787878788,0.18645309297834256,synthetic,,0.08605307317613932,0.25,0.8773536405115352,eata_full,0.33692147896885033,0.07065409992355853,2,homophily_shift
0.8666666666666667,0.19328387687543266,synthetic,,0.07599713080300076,0.25,0.8651272767651005,matcha_full,0.35318182799422226,0.10630569991189986,2,homophily_shift
0.8787878787878788,0.18607891339589894,synthetic,,0.08195061317216469,0.25,0.8773536405115352,gtrans_full,0.3360154039602951,0.032548599992878735,2,homophily_shift
0.8727272727272727,0.1926602499665428,synthetic,False,0.0768055339784392,0.25,0.8709234781830998,full_method,0.35241775341039944,0.2665454000234604,2,homophily_shift
0.593939393939394,0.5273244467615614,synthetic,,0.0873677032825721,0.5,0.5916247495194864,source_only,0.882021182753899,0.0,2,homophily_shift
0.6060606060606061,0.5610273719170172,synthetic,,0.13989825069222087,0.5,0.598509692125187,tent_full,0.9754949366331795,0.03715390001889318,2,homophily_shift
0.593939393939394,0.5653760602284229,synthetic,,0.14234390122927607,0.5,0.5855200448556209,eata_full,0.9903762067663388,0.05588569992687553,2,homophily_shift
