accuracy,detector_triggered,ece,intensity,method,nll,seed,shift,step,stream
0.9916666666666667,,0.042242274185021716,0.05,entropy_all_nodes,0.06707374006509781,3,feature_noise,0,feature_drift_stream
0.9916666666666667,False,0.042675488690535224,0.05,full_method,0.06752277910709381,3,feature_noise,0,feature_drift_stream
0.9833333333333333,,0.03291618476311366,0.1,source_only,0.06989552080631256,3,feature_noise,1,feature_drift_stream
0.9833333333333333,,0.03228786736726761,0.1,entropy_all_nodes,0.06656630337238312,3,feature_noise,1,feature_drift_stream
0.9833333333333333,False,0.031225042541821797,0.1,full_method,0.06731489300727844,3,feature_noise,1,feature_drift_stream
0.9833333333333333,,0.029022100567817684,0.2,source_only,0.07801014930009842,3,feature_noise,2,feature_drift_stream
0.9833333333333333,,0.026007005572319032,0.2,entropy_all_nodes,0.07421144098043442,3,feature_noise,2,feature_drift_stream
0.9833333333333333,False,0.02362437297900518,0.2,full_method,0.07498862594366074,3,feature_noise,2,feature_drift_stream
0.9833333333333333,,0.04429005384445191,0.3,source_only,0.08548025786876678,3,feature_noise,3,feature_drift_stream
0.9916666666666667,,0.04241480678319931,0.3,entropy_all_nodes,0.07931993901729584,3,feature_noise,3,feature_drift_stream
0.9916666666666667,False,0.043308613697687785,0.3,full_method,0.08021152764558792,3,feature_noise,3,feature_drift_stream
0.975,,0.03911723991235098,0.4,source_only,0.09398990124464035,3,feature_noise,4,feature_drift_stream
0.975,,0.026472302774588268,0.4,entropy_all_nodes,0.08229368180036545,3,feature_noise,4,feature_drift_stream
0.975,False,0.030990391472975415,0.4,full_method,0.08482473343610764,3,feature_noise,4,feature_drift_stream
0.9333333333333333,,0.03564245849847791,0.05,source_only,0.14942938089370728,4,feature_noise,0,feature_drift_stream
0.9333333333333333,,0.02658938343326248,0.05,entropy_all_nodes,0.14427824318408966,4,feature_noise,0,feature_drift_stream
0.9333333333333333,False,0.03170285820961002,0.05,full_method,0.14735542237758636,4,feature_noise,0,feature_drift_stream
0.9333333333333333,,0.045013519873221684,0.1,source_only,0.14828035235404968,4,feature_noise,1,feature_drift_stream
0.9416666666666667,,0.035383529961109134,0.1,entropy_all_nodes,0.1395537108182907,4,feature_noise,1,feature_drift_stream
0.9416666666666667,False,0.049512322743733725,0.1,full_method,0.14449483156204224,4,feature_noise,1,feature_drift_stream
0.9416666666666667,,0.048658951371908225,0.2,source_only,0.1412578970193863,4,feature_noise,2,feature_drift_stream
0.9333333333333333,,0.04341138477126757,0.2,entropy_all_nodes,0.13101206719875336,4,feature_noise,2,feature_drift_stream
0.9416666666666667,False,0.03986473927895231,0.2,full_method,0.13631366193294525,4,feature_noise,2,feature_drift_stream
0.9166666666666666,,0.044054341067870484,0.3,source_only,0.19625195860862732,4,feature_noise,3,feature_drift_stream
0.925,,0.040645617246627845,0.3,entropy_all_nodes,0.18045574426651,4,feature_noise,3,feature_drift_stream
0.9166666666666666,False,0.05787285168965654,0.3,full_method,0.19033341109752655,4,feature_noise,3,feature_drift_stream
0.9083333333333333,,0.03898020883401232,0.4,source_only,0.22512316703796387,4,feature_noise,4,feature_drift_stream
0.9166666666666666,,0.05145248124996823,0.4,entropy_all_nodes,0.20538955926895142,4,feature_noise,4,feature_drift_stream
0.9083333333333333,False,0.035389267901579514,0.4,full_method,0.22102506458759308,4,feature_noise,4,feature_drift_stream
0.975,,0.03098629117012024,0.05,source_only,0.09098424762487411,0,edge_drop,0,edge_perturb_stream
0.975,,0.030976362029711404,0.05,entropy_all_nodes,0.09055662155151367,0,edge_drop,0,edge_perturb_stream
0.975,False,0.031078054507573446,0.05,full_method,0.09078629314899445,0,edge_drop,0,edge_perturb_stream
0.95,,0.04985235532124838,0.05,source_only,0.11370876431465149,0,edge_add,1,edge_perturb_stream
0.9583333333333334,,0.051631583273410796,0.05,entropy_all_nodes,0.11360807716846466,0,edge_add,1,edge_perturb_stream
0.9583333333333334,False,0.04683169821898142,0.05,full_method,0.11362516134977341,0,edge_add,1,edge_perturb_stream
0.975,,0.026806196322043743,0.1,source_only,0.0913485735654831,0,edge_drop,2,edge_perturb_stream
0.975,,0.02925956199566524,0.1,entropy_all_nodes,0.09113967418670654,0,edge_drop,2,edge_perturb_stream
0.975,False,0.02952058290441832,0.1,full_method,0.09125105291604996,0,edge_drop,2,edge_perturb_stream
0.9666666666666667,,0.03304733783006668,0.1,source_only,0.11154411733150482,0,edge_add,3,edge_perturb_stream
0.9583333333333334,,0.04229012380043665,0.1,entropy_all_nodes,0.10799621045589447,0,edge_add,3,edge_perturb_stream
0.9583333333333334,False,0.03534940878550212,0.1,full_method,0.1089281514286995,0,edge_add,3,edge_perturb_stream
0.9333333333333333,,0.05326259682575863,0.15,source_only,0.21924903988838196,0,edge_drop,4,edge_perturb_stream
0.9333333333333333,,0.046594101687272405,0.15,entropy_all_nodes,0.22283773124217987,0,edge_drop,4,edge_perturb_stream
0.9333333333333333,False,0.04595831930637361,0.15,full_method,0.22251637279987335,0,edge_drop,4,edge_perturb_stream
0.975,,0.023373052477836637,0.05,source_only,0.07468365132808685,1,edge_drop,0,edge_perturb_stream
0.975,,0.02350370710094772,0.05,entropy_all_nodes,0.07552061229944229,1,edge_drop,0,edge_perturb_stream
0.975,False,0.023414308081070607,0.05,full_method,0.07507039606571198,1,edge_drop,0,edge_perturb_stream
0.9916666666666667,,0.024083039909601214,0.05,source_only,0.03647959232330322,1,edge_add,1,edge_perturb_stream
0.9916666666666667,,0.023476683100064594,0.05,entropy_all_nodes,0.03620696812868118,1,edge_add,1,edge_perturb_stream
0.9916666666666667,False,0.023736985524495442,0.05,full_method,0.036336105316877365,1,edge_add,1,edge_perturb_stream
0.975,,0.03188961272438362,0.1,source_only,0.08689551055431366,1,edge_drop,2,edge_perturb_stream
0.9666666666666667,,0.029096092283725693,0.1,entropy_all_nodes,0.08932814747095108,1,edge_drop,2,edge_perturb_stream
0.975,False,0.020335262020428922,0.1,full_method,0.08837398141622543,1,edge_drop,2,edge_perturb_stream
0.975,,0.027275599539279938,0.1,source_only,0.06278195232152939,1,edge_add,3,edge_perturb_stream
0.975,,0.033600599070390064,0.1,entropy_all_nodes,0.06233008950948715,1,edge_add,3,edge_perturb_stream
0.975,False,0.02397576123476028,0.1,full_method,0.06236616149544716,1,edge_add,3,edge_perturb_stream
0.975,,0.029546716560920082,0.15,source_only,0.04941360279917717,1,edge_drop,4,edge_perturb_stream
0.975,,0.02964358230431875,0.15,entropy_all_nodes,0.05173717439174652,1,edge_drop,4,edge_perturb_stream
0.975,False,0.029679185648759206,0.15,full_method,0.05111366882920265,1,edge_drop,4,edge_perturb_stream
0.975,,0.028496369967857992,0.05,source_only,0.0779646560549736,2,edge_drop,0,edge_perturb_stream
0.975,,0.028960869709650672,0.05,entropy_all_nodes,0.07813964784145355,2,edge_drop,0,edge_perturb_stream
0.975,False,0.02871692950526874,0.05,full_method,0.07804711908102036,2,edge_drop,0,edge_perturb_stream
0.9833333333333333,,0.02901675154765447,0.05,source_only,0.06941970437765121,2,edge_add,1,edge_perturb_stream
0.9833333333333333,,0.02735957304636637,0.05,entropy_all_nodes,0.06898529082536697,2,edge_add,1,edge_perturb_stream
0.9833333333333333,False,0.02806970179080959,0.05,full_method,0.06901620328426361,2,edge_add,1,edge_perturb_stream
0.975,,0.04229605247577031,0.1,source_only,0.08123759925365448,2,edge_drop,2,edge_perturb_stream
0.9666666666666667,,0.03821989744901658,0.1,entropy_all_nodes,0.08501814305782318,2,edge_drop,2,edge_perturb_stream
0.975,False,0.030711440245310466,0.1,full_method,0.08210107684135437,2,edge_drop,2,edge_perturb_stream
0.9916666666666667,,0.04312693203488983,0.1,source_only,0.08697351068258286,2,edge_add,3,edge_perturb_stream
0.9833333333333333,,0.0405854215224584,0.1,entropy_all_nodes,0.08716075867414474,2,edge_add,3,edge_perturb_stream
0.9916666666666667,False,0.043203340222438144,0.1,full_method,0.08625917136669159,2,edge_add,3,edge_perturb_stream
0.95,,0.052650594214598334,0.15,source_only,0.14773879945278168,2,edge_drop,4,edge_perturb_stream
0.95,,0.03959024349848426,0.15,entropy_all_nodes,0.14904600381851196,2,edge_drop,4,edge_perturb_stream
0.95,False,0.044218048950036344,0.15,full_method,0.14918604493141174,2,edge_drop,4,edge_perturb_stream
0.9833333333333333,,0.032426619033018744,0.05,source_only,0.07951043546199799,3,edge_drop,0,edge_perturb_stream
0.9833333333333333,,0.04032039145628611,0.05,entropy_all_nodes,0.07826409488916397,3,edge_drop,0,edge_perturb_stream
0.9833333333333333,False,0.03369806210199992,0.05,full_method,0.07799562066793442,3,edge_drop,0,edge_perturb_stream
0.975,,0.04020991971095403,0.05,source_only,0.08623029291629791,3,edge_add,1,edge_perturb_stream
0.9833333333333333,,0.045194327086210254,0.05,entropy_all_nodes,0.08195710927248001,3,edge_add,1,edge_perturb_stream
0.975,False,0.03777378002802531,0.05,full_method,0.08270978927612305,3,edge_add,1,edge_perturb_stream
0.9833333333333333,,0.037879056980212523,0.1,source_only,0.07059941440820694,3,edge_drop,2,edge_perturb_stream
0.9916666666666667,,0.033395683268706,0.1,entropy_all_nodes,0.06644595414400101,3,edge_drop,2,edge_perturb_stream
0.9916666666666667,False,0.03249427477518717,0.1,full_method,0.06664019078016281,3,edge_drop,2,edge_perturb_stream
0.9833333333333333,,0.03921764840682348,0.1,source_only,0.08265834301710129,3,edge_add,3,edge_perturb_stream
0.975,,0.03660834779342016,0.1,entropy_all_nodes,0.07392681390047073,3,edge_add,3,edge_perturb_stream
0.9833333333333333,False,0.03611954301595688,0.1,full_method,0.0746677815914154,3,edge_add,3,edge_perturb_stream
0.9666666666666667,,0.03310665215055148,0.15,source_only,0.08407136797904968,3,edge_drop,4,edge_perturb_stream
0.9666666666666667,,0.049235489964485166,0.15,entropy_all_nodes,0.07715665549039841,3,edge_drop,4,edge_perturb_stream
0.9666666666666667,False,0.05024804025888442,0.15,full_method,0.07778614014387131,3,edge_drop,4,edge_perturb_stream
