delta_self,delta_tolerance,deployed_acc,intensity,no_detector_acc,phi_tolerance,regime,seed,setting,shift,source_acc,trigger_step,triggered
0.0001710288683573405,0.000342057736714681,0.9636363636363636,0.35,0.9636363636363636,0.2,in_envelope,0,auto,edge_add,0.9636363636363636,13,True
0.0001710288683573405,0.02,0.9818181818181818,0.35,0.9818181818181818,0.1,in_envelope,0,safety,degree_shift,0.9818181818181818,,False
0.0001710288683573405,0.05,0.9818181818181818,0.35,0.9818181818181818,0.2,in_envelope,0,balanced,degree_shift,0.9818181818181818,,False
0.0001710288683573405,0.2,0.9818181818181818,0.35,0.9818181818181818,0.5,in_envelope,0,aggressive,degree_shift,0.9818181818181818,,False
0.0001710288683573405,0.000342057736714681,0.9818181818181818,0.35,0.9818181818181818,0.2,in_envelope,0,auto,degree_shift,0.9818181818181818,,False
0.0001710288683573405,0.02,0.5818181818181818,0.5,0.5818181818181818,0.1,out_envelope,0,safety,homophily_shift,0.6181818181818182,,False
0.0001710288683573405,0.05,0.5818181818181818,0.5,0.5818181818181818,0.2,out_envelope,0,balanced,homophily_shift,0.6181818181818182,,False
0.0001710288683573405,0.2,0.5818181818181818,0.5,0.5818181818181818,0.5,out_envelope,0,aggressive,homophily_shift,0.6181818181818182,,False
0.0001710288683573405,0.000342057736714681,0.6242424242424243,0.5,0.5818181818181818,0.2,out_envelope,0,auto,homophily_shift,0.6181818181818182,2,True
0.00016943941116333007,0.02,0.9696969696969697,0.0,0.9696969696969697,0.1,in_envelope,1,safety,clean,0.9696969696969697,,False
0.00016943941116333007,0.05,0.9696969696969697,0.0,0.9696969696969697,0.2,in_envelope,1,balanced,clean,0.9696969696969697,,False
0.00016943941116333007,0.2,0.9696969696969697,0.0,0.9696969696969697,0.5,in_envelope,1,aggressive,clean,0.9696969696969697,,False
0.00016943941116333007,0.00033887882232666014,0.9696969696969697,0.0,0.9696969696969697,0.2,in_envelope,1,auto,clean,0.9696969696969697,,False
0.00016943941116333007,0.02,0.9515151515151515,0.45,0.9515151515151515,0.1,in_envelope,1,safety,feature_noise,0.9393939393939394,,False
0.00016943941116333007,0.05,0.9515151515151515,0.45,0.9515151515151515,0.2,in_envelope,1,balanced,feature_noise,0.9393939393939394,,False
0.00016943941116333007,0.2,0.9515151515151515,0.45,0.9515151515151515,0.5,in_envelope,1,aggressive,feature_noise,0.9393939393939394,,False
0.00016943941116333007,0.00033887882232666014,0.9393939393939394,0.45,0.9515151515151515,0.2,in_envelope,1,auto,feature_noise,0.9393939393939394,12,True
0.00016943941116333007,0.02,0.9212121212121213,0.35,0.9212121212121213,0.1,in_envelope,1,safety,edge_drop,0.9212121212121213,,False
0.00016943941116333007,0.05,0.9212121212121213,0.35,0.9212121212121213,0.2,in_envelope,1,balanced,edge_drop,0.9212121212121213,,False
0.00016943941116333007,0.2,0.9212121212121213,0.35,0.9212121212121213,0.5,in_envelope,1,aggressive,edge_drop,0.9212121212121213,,False
0.00016943941116333007,0.00033887882232666014,0.9212121212121213,0.35,0.9212121212121213,0.2,in_envelope,1,auto,edge_drop,0.9212121212121213,,False
0.00016943941116333007,0.02,0.9272727272727272,0.35,0.9272727272727272,0.1,in_envelope,1,safety,edge_add,0.9272727272727272,,False
0.00016943941116333007,0.05,0.9272727272727272,0.35,0.9272727272727272,0.2,in_envelope,1,balanced,edge_add,0.9272727272727272,,False
0.00016943941116333007,0.2,0.9272727272727272,0.35,0.9272727272727272,0.5,in_envelope,1,aggressive,edge_add,0.9272727272727272,,False
0.00016943941116333007,0.00033887882232666014,0.9272727272727272,0.35,0.9272727272727272,0.2,in_envelope,1,auto,edge_add,0.9272727272727272,7,True
