accuracy,dataset,detector_triggered,ece,homophily,intensity,method,nll,seed,shift
0.45925925925925926,texas,,0.09744688316627785,0.06093189964157706,0.05,source_only,1.3659372329711914,1,edge_add
0.45925925925925926,texas,,0.09538151158226858,0.06093189964157706,0.05,entropy_all_nodes,1.3753033876419067,1,edge_add
0.45185185185185184,texas,False,0.10794385583312423,0.06093189964157706,0.05,full_method,1.402990460395813,1,edge_add
0.37037037037037035,texas,,0.08734727192808081,0.06093189964157706,0.0,source_only,1.408845067024231,2,clean
0.37037037037037035,texas,,0.08137488409324929,0.06093189964157706,0.0,entropy_all_nodes,1.4186789989471436,2,clean
0.362962962962963,texas,False,0.10500018530421788,0.06093189964157706,0.0,full_method,1.421844720840454,2,clean
0.2,texas,,0.4566445849559925,0.06093189964157706,0.1,source_only,3.2735531330108643,2,feature_noise
0.1925925925925926,texas,,0.4646489646699693,0.06093189964157706,0.1,entropy_all_nodes,3.3207027912139893,2,feature_noise
0.18518518518518517,texas,False,0.4763331283021856,0.06093189964157706,0.1,full_method,3.343059778213501,2,feature_noise
0.362962962962963,texas,,0.098277336579782,0.06093189964157706,0.1,source_only,1.425634741783142,2,edge_drop
0.34814814814814815,texas,,0.08960354460610281,0.06093189964157706,0.1,entropy_all_nodes,1.4384733438491821,2,edge_drop
0.35555555555555557,texas,False,0.0782821085717943,0.06093189964157706,0.1,full_method,1.441127061843872,2,edge_drop
0.362962962962963,texas,,0.08448293959652937,0.06093189964157706,0.05,source_only,1.4175841808319092,2,edge_add
0.34074074074074073,texas,,0.10888137949837579,0.06093189964157706,0.05,entropy_all_nodes,1.4282995462417603,2,edge_add
0.34814814814814815,texas,False,0.09808008229290997,0.06093189964157706,0.05,full_method,1.432409405708313,2,edge_add
0.5703703703703704,texas,,0.12459393187805459,0.06093189964157706,0.0,source_only,1.2879287004470825,3,clean
0.5703703703703704,texas,,0.12675264455654003,0.06093189964157706,0.0,entropy_all_nodes,1.2809590101242065,3,clean
0.5555555555555556,texas,False,0.13269086171079564,0.06093189964157706,0.0,full_method,1.3174453973770142,3,clean
0.25925925925925924,texas,,0.4593180468788852,0.06093189964157706,0.1,source_only,2.868161916732788,3,feature_noise
0.25925925925925924,texas,,0.45692767522953176,0.06093189964157706,0.1,entropy_all_nodes,2.9056854248046875,3,feature_noise
0.23703703703703705,texas,False,0.48067944977018573,0.06093189964157706,0.1,full_method,2.951617479324341,3,feature_noise
0.5481481481481482,texas,,0.11155019270049199,0.06093189964157706,0.1,source_only,1.3548823595046997,3,edge_drop
0.5555555555555556,texas,,0.11759462003354675,0.06093189964157706,0.1,entropy_all_nodes,1.3522075414657593,3,edge_drop
0.5407407407407407,texas,False,0.10801537478411641,0.06093189964157706,0.1,full_method,1.385934829711914,3,edge_drop
0.5333333333333333,texas,,0.09434693521923489,0.06093189964157706,0.05,source_only,1.2886427640914917,3,edge_add
0.5481481481481482,texas,,0.1014761675287176,0.06093189964157706,0.05,entropy_all_nodes,1.2828503847122192,3,edge_add
0.5333333333333333,texas,False,0.11480806447841502,0.06093189964157706,0.05,full_method,1.317478895187378,3,edge_add
0.6,texas,,0.20112741589546207,0.06093189964157706,0.0,source_only,1.2248939275741577,4,clean
0.5851851851851851,texas,,0.17613977701575667,0.06093189964157706,0.0,entropy_all_nodes,1.2172154188156128,4,clean
0.5481481481481482,texas,False,0.18257384940429966,0.06093189964157706,0.0,full_method,1.2626489400863647,4,clean
0.362962962962963,texas,,0.2950833921079282,0.06093189964157706,0.1,source_only,2.2524404525756836,4,feature_noise
0.362962962962963,texas,,0.2735106035515114,0.06093189964157706,0.1,entropy_all_nodes,2.267714262008667,4,feature_noise
0.362962962962963,texas,False,0.30579349111627646,0.06093189964157706,0.1,full_method,2.278625249862671,4,feature_noise
0.5407407407407407,texas,,0.1877934442626105,0.06093189964157706,0.1,source_only,1.271051287651062,4,edge_drop
0.5481481481481482,texas,,0.16377710479277155,0.06093189964157706,0.1,entropy_all_nodes,1.2757582664489746,4,edge_drop
0.4666666666666667,texas,False,0.15304724596164845,0.06093189964157706,0.1,full_method,1.3300026655197144,4,edge_drop
0.5851851851851851,texas,,0.19036242454140273,0.06093189964157706,0.05,source_only,1.2377617359161377,4,edge_add
0.5777777777777777,texas,,0.17109715938568112,0.06093189964157706,0.05,entropy_all_nodes,1.2328441143035889,4,edge_add
0.5111111111111111,texas,False,0.11920889925073697,0.06093189964157706,0.05,full_method,1.2775002717971802,4,edge_add
0.4603174603174603,cornell,,0.13386060770541902,0.12274368231046931,0.0,source_only,1.388271450996399,0,clean
0.46825396825396826,cornell,,0.13950956388125343,0.12274368231046931,0.0,entropy_all_nodes,1.3811423778533936,0,clean
0.46825396825396826,cornell,False,0.1470007040197887,0.12274368231046931,0.0,full_method,1.381656289100647,0,clean
0.2222222222222222,cornell,,0.42139875108287445,0.12274368231046931,0.1,source_only,3.1155242919921875,0,feature_noise
0.20634920634920634,cornell,,0.4412589510754933,0.12274368231046931,0.1,entropy_all_nodes,3.2282190322875977,0,feature_noise
0.1984126984126984,cornell,False,0.4616322936046691,0.12274368231046931,0.1,full_method,3.2925944328308105,0,feature_noise
0.4603174603174603,cornell,,0.10024005080026294,0.12274368231046931,0.1,source_only,1.371335744857788,0,edge_drop
0.47619047619047616,cornell,,0.11380799138356765,0.12274368231046931,0.1,entropy_all_nodes,1.3631268739700317,0,edge_drop
0.46825396825396826,cornell,False,0.11796881211182426,0.12274368231046931,0.1,full_method,1.3634287118911743,0,edge_drop
0.42063492063492064,cornell,,0.1122717670505009,0.12274368231046931,0.05,source_only,1.396396279335022,0,edge_add
0.4444444444444444,cornell,,0.09409088345747145,0.12274368231046931,0.05,entropy_all_nodes,1.3895574808120728,0,edge_add
0.4444444444444444,cornell,False,0.10891685646677773,0.12274368231046931,0.05,full_method,1.3906153440475464,0,edge_add
0.36507936507936506,cornell,,0.11318883678269764,0.12274368231046931,0.0,source_only,1.4713019132614136,1,clean
0.373015873015873,cornell,,0.09732468213353837,0.12274368231046931,0.0,entropy_all_nodes,1.465553641319275,1,clean
0.373015873015873,cornell,False,0.09773301557889058,0.12274368231046931,0.0,full_method,1.4598037004470825,1,clean
