delta_t,drift_high,drift_low,drift_mid,intensity,phi_t,seed,shift,step
0.004433338224388202,0.0051630858890500675,0.004167370244441304,0.003969558539673235,0.5,0.03,0,homophily_shift,32
0.004587258090547257,0.005347071731619357,0.004309579095881699,0.0041051234441407125,0.5,0.03,0,homophily_shift,33
0.0047425483318471,0.005531584168210091,0.0044553918501814005,0.0042406689771498085,0.5,0.03333333333333333,0,homophily_shift,34
0.004898921427622087,0.005716882736367723,0.004603530157840596,0.00437635138865794,0.5,0.03333333333333333,0,homophily_shift,35
0.005055532544339973,0.0059026664861622224,0.004751977262486717,0.004511953884370978,0.5,0.03333333333333333,0,homophily_shift,36
0.005213075160158472,0.0060896639638690075,0.004901390072554357,0.004648171444052052,0.5,0.03333333333333333,0,homophily_shift,37
0.005372168216438655,0.006276648053256451,0.005055800078434536,0.004784056517624979,0.5,0.03666666666666667,0,homophily_shift,38
0.00553374268855833,0.006465423193905417,0.005215339458822854,0.004920465412946717,0.5,0.03666666666666667,0,homophily_shift,39
0.005695973702881478,0.006654707952829575,0.0053762916177461095,0.005056921538068748,0.5,0.04,0,homophily_shift,40
0.005860469822691598,0.006848241904812036,0.005539468142669701,0.0051936994205930564,0.5,0.043333333333333335,0,homophily_shift,41
0.006025773068720763,0.007044025472279947,0.005703521678612766,0.005329772055269577,0.5,0.043333333333333335,0,homophily_shift,42
0.006192361462028451,0.007241525645733438,0.005869026450551262,0.005466532289800652,0.5,0.043333333333333335,0,homophily_shift,43
0.006359011228365278,0.007439274851047284,0.006034677288656254,0.005603081545392297,0.5,0.043333333333333335,0,homophily_shift,44
0.006525805175618034,0.007637303950272234,0.006200637832354916,0.005739473744226953,0.5,0.043333333333333335,0,homophily_shift,45
0.006693549594072905,0.007836675418588679,0.006367858498059431,0.005876114865570603,0.5,0.043333333333333335,0,homophily_shift,46
0.006861251084924284,0.008036130339414638,0.006535112565629386,0.006012510349728828,0.5,0.043333333333333335,0,homophily_shift,47
0.0070294863813358255,0.008236376651960808,0.006703089146174457,0.006148993345872211,0.5,0.043333333333333335,0,homophily_shift,48
0.0071984116304404005,0.0084376337730806,0.006871909842491641,0.006285691275748961,0.5,0.043333333333333335,0,homophily_shift,49
0.007367577315108602,0.008639377277119165,0.007041213950329195,0.006422140717877445,0.5,0.043333333333333335,0,homophily_shift,50
0.007541280295231286,0.008841559780545127,0.0072121820590274055,0.006570099046121325,0.5,0.05,0,homophily_shift,51
0.007718525515300907,0.009045704549167588,0.007385066223048853,0.006724805773686282,0.5,0.05,0,homophily_shift,52
0.007896176293844556,0.009250450920971764,0.0075585557156472305,0.006879522244914671,0.5,0.05,0,homophily_shift,53
0.008075037762410697,0.009455973713491661,0.007734635166074033,0.007034504407666398,0.5,0.05333333333333334,0,homophily_shift,54
0.008255485951807398,0.009662216530774148,0.007914450792634586,0.0071897905320134625,0.5,0.056666666666666664,0,homophily_shift,55
0.008439585422868693,0.00986967756958429,0.008103783526989095,0.007345295172032695,0.5,0.056666666666666664,0,homophily_shift,56
0.008624749195554707,0.01007775780003689,0.008295708683591141,0.007500781103036092,0.5,0.06,0,homophily_shift,57
0.00881415475416858,0.010290660264886564,0.008495340788019223,0.007656463209599951,0.5,0.06333333333333334,0,homophily_shift,58
