correlation,intensity,seed,shift,signal_a,signal_b
-0.0034932629923301642,0.45,3,feature_noise,agreement,degree
0.0,0.45,3,feature_noise,stability,source
0.2851794952511685,0.45,3,feature_noise,stability,degree
0.0,0.45,3,feature_noise,source,degree
0.6190718037544535,0.35,3,edge_drop,confidence,agreement
0.25635440280568406,0.35,3,edge_drop,confidence,stability
0.0,0.35,3,edge_drop,confidence,source
0.15909497751565976,0.35,3,edge_drop,confidence,degree
0.13617913149797586,0.35,3,edge_drop,agreement,stability
0.0,0.35,3,edge_drop,agreement,source
-0.0573550274336252,0.35,3,edge_drop,agreement,degree
0.0,0.35,3,edge_drop,stability,source
0.016175693348565827,0.35,3,edge_drop,stability,degree
0.0,0.35,3,edge_drop,source,degree
0.7703553726645814,0.35,3,edge_add,confidence,agreement
0.2688892013270928,0.35,3,edge_add,confidence,stability
0.0,0.35,3,edge_add,confidence,source
0.28416158591676816,0.35,3,edge_add,confidence,degree
0.20611084161844828,0.35,3,edge_add,agreement,stability
0.0,0.35,3,edge_add,agreement,source
0.09909272888458322,0.35,3,edge_add,agreement,degree
0.0,0.35,3,edge_add,stability,source
0.06620725905873825,0.35,3,edge_add,stability,degree
0.0,0.35,3,edge_add,source,degree
0.6715608017648335,0.25,3,homophily_shift,confidence,agreement
0.15510020981264777,0.25,3,homophily_shift,confidence,stability
0.0,0.25,3,homophily_shift,confidence,source
0.0805346183659115,0.25,3,homophily_shift,confidence,degree
0.13826554172010905,0.25,3,homophily_shift,agreement,stability
0.0,0.25,3,homophily_shift,agreement,source
-0.013786838343001918,0.25,3,homophily_shift,agreement,degree
0.0,0.25,3,homophily_shift,stability,source
-0.013731231595983426,0.25,3,homophily_shift,stability,degree
0.0,0.25,3,homophily_shift,source,degree
0.684748341314469,0.0,4,clean,confidence,agreement
0.2760575411181493,0.0,4,clean,confidence,stability
0.0,0.0,4,clean,confidence,source
0.23109004859906682,0.0,4,clean,confidence,degree
0.28157564933862367,0.0,4,clean,agreement,stability
0.0,0.0,4,clean,agreement,source
-0.062344233840336535,0.0,4,clean,agreement,degree
0.0,0.0,4,clean,stability,source
0.055437880020709526,0.0,4,clean,stability,degree
0.0,0.0,4,clean,source,degree
0.5643038296951546,0.45,4,feature_noise,confidence,agreement
0.19386991922498606,0.45,4,feature_noise,confidence,stability
0.0,0.45,4,feature_noise,confidence,source
0.1712604637342043,0.45,4,feature_noise,confidence,degree
0.21725570715914774,0.45,4,feature_noise,agreement,stability
0.0,0.45,4,feature_noise,agreement,source
-0.056727597588528245,0.45,4,feature_noise,agreement,degree
0.0,0.45,4,feature_noise,stability,source
0.12322861871848642,0.45,4,feature_noise,stability,degree
0.0,0.45,4,feature_noise,source,degree
0.6151893981264233,0.35,4,edge_drop,confidence,agreement
0.23473007576464733,0.35,4,edge_drop,confidence,stability
0.0,0.35,4,edge_drop,confidence,source
0.15680954544302825,0.35,4,edge_drop,confidence,degree
0.22854924791993372,0.35,4,edge_drop,agreement,stability
0.0,0.35,4,edge_drop,agreement,source
-0.10042633855310559,0.35,4,edge_drop,agreement,degree
0.0,0.35,4,edge_drop,stability,source
0.029892316033104056,0.35,4,edge_drop,stability,degree
0.0,0.35,4,edge_drop,source,degree
0.6636273082718381,0.35,4,edge_add,confidence,agreement
0.1998119270261296,0.35,4,edge_add,confidence,stability
0.0,0.35,4,edge_add,confidence,source
0.16334330150366755,0.35,4,edge_add,confidence,degree
0.18078227453639314,0.35,4,edge_add,agreement,stability
0.0,0.35,4,edge_add,agreement,source
-0.08412099838704658,0.35,4,edge_add,agreement,degree
0.0,0.35,4,edge_add,stability,source
0.03859806992272254,0.35,4,edge_add,stability,degree
0.0,0.35,4,edge_add,source,degree
0.5529039099193856,0.25,4,homophily_shift,confidence,agreement
0.17981274733564218,0.25,4,homophily_shift,confidence,stability
0.0,0.25,4,homophily_shift,confidence,source
0.06225874153362221,0.25,4,homophily_shift,confidence,degree
0.1539618181309505,0.25,4,homophily_shift,agreement,stability
0.0,0.25,4,homophily_shift,agreement,source
-0.07030517346152756,0.25,4,homophily_shift,agreement,degree
0.0,0.25,4,homophily_shift,stability,source
0.09640334405770658,0.25,4,homophily_shift,stability,degree
0.0,0.25,4,homophily_shift,source,degree
