dataset,shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std,mean_reliability_mean,mean_reliability_std,selected_fraction_mean,selected_fraction_std,num_nodes_mean,num_nodes_std,num_edges_mean,num_edges_std
texas,feature_noise,0.1,no_neighborhood_agreement,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596091341001,0.0001344201095138109,0.006333385321218951,0.004517500539054878,0.7995633692477919,6.085099771152569e-05,0.00930750000406988,0.0002103000006172806,5.0,0.0,0.43654147383720676,0.0033380904156611046,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,no_structural_stability,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596753344365,0.00013444766285075627,0.006333098993894143,0.004518470677386033,0.7995633971837632,6.0860222135805664e-05,0.00813314999686554,0.0003756500082090497,5.0,0.0,0.42876354353037505,0.009410991032237664,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,no_calibration_loss,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.608359675334376,0.0001344476629161484,0.006333098993443934,0.004518470677951206,0.7995633971837386,6.0860222161951416e-05,0.0142879500053823,0.0011438500077929348,5.0,0.0,0.4287637821377642,0.009411087229803744,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,no_anti_forgetting,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.608359674951965,0.00013444734653034196,0.00633310602144227,0.004518456174543467,0.79956339701447,6.086012013811759e-05,0.014783749997150153,0.0015908500063233078,5.0,0.0,0.42876378228881057,0.009411087411900054,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,feature_noise,0.1,full_method,2,0.20967741935483872,0.005376344086021501,0.11389087656529517,0.017737030411449008,1.6083596753343974,0.00013444766289938404,0.006333098993322114,0.004518470678096645,0.7995633971837477,6.08602221544019e-05,0.013872199997422285,0.00024390000908169895,5.0,0.0,0.4287637821377664,0.009411087229806103,0.3989071038251366,0.0,183.0,0.0,1511.5,42.5
texas,edge_drop,0.1,source_only,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082575068430542,0.0002024794167463373,0.027772368565931044,0.015023608642598302,0.799521113190258,9.066351847114573e-05,1.6499980119988322e-06,4.9985828809440136e-08,0.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,entropy_all_nodes,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.608257176026863,0.00020215725233263537,0.027779088896019752,0.015008730010140317,0.7995209608304137,9.056615714270189e-05,0.0021503000025404617,8.999923011288047e-07,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,tent_entropy,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082571756982769,0.00020215692840430677,0.027779095619993643,0.01500871512374069,0.7995209606789214,9.05660591153934e-05,0.0012948000221513212,3.2999960239976645e-06,5.0,0.0,1.0,0.0,1.0,0.0,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,eata_filter,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.6082570385339086,0.00020221835351486028,0.027780232135187016,0.015007473132337829,0.7995209038296691,9.059272187400547e-05,0.013711250008782372,0.00020005000988021493,5.0,0.0,0.31092896174863394,0.0016393442622950893,0.31092896174863394,0.0016393442622950893,183.0,0.0,1361.0,38.0
texas,edge_drop,0.1,graph_tta_consistency,2,0.22043010752688172,0.02688172043010753,0.11749325184619303,0.03673134708428827,1.608257514620942,0.00020218516092962435,0.027779777543641387,0.015010052614672031,0.7995211001627393,9.057180626226291e-05,0.019544549999409355,0.0009320499812019989,5.0,0.0,0.4202204461389919,0.006524124957454165,0.3989071038251366,0.0,183.0,0.0,1361.0,38.0
