shift,intensity,method,count,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,nll_mean,nll_std,ece_mean,ece_std,brier_mean,brier_std,runtime_seconds_mean,runtime_seconds_std,adapted_steps_mean,adapted_steps_std
feature_noise,0.35,reliable_entropy,2,0.1325,0.038500000000000006,0.07076784044921515,0.02835737769582099,1.9648107039144391,0.028349361790765415,0.04811383013907494,0.03779158480809651,0.8627328675762577,0.008251806776629955,6.739624150010059,0.024575649993494153,35.0,0.0
feature_noise,0.35,no_neighborhood_agreement,2,0.1325,0.040499999999999994,0.0697797598445204,0.03041566268997051,1.9653321999288849,0.028999119695229725,0.04888927164345608,0.039873914719953794,0.8628937808700496,0.00844773488978523,6.333359950003796,0.0005350500141503289,35.0,0.0
feature_noise,0.35,no_structural_stability,2,0.1325,0.038500000000000006,0.07076784044921515,0.02835737769582099,1.9648106986553113,0.02834936669170096,0.048113814215418965,0.03779157700687577,0.862732865261331,0.008251808081229495,2.7254196500143735,0.005577949996222742,35.0,0.0
feature_noise,0.35,no_calibration_loss,2,0.1325,0.038500000000000006,0.07076784044921515,0.02835737769582099,1.9648125499961637,0.028351219993731025,0.04811510647865171,0.03779267906202054,0.8627334127855353,0.008252354638409842,6.668881550009246,0.07047704998694826,35.0,0.0
feature_noise,0.35,no_anti_forgetting,2,0.1325,0.038500000000000006,0.0707680837792497,0.02835713436578644,1.9648644674130713,0.028422682223743556,0.04817050225732125,0.03782375101745919,0.8627492511656984,0.008273835121702044,6.779092900018441,0.014535399997839704,35.0,0.0
feature_noise,0.35,full_method,2,0.1325,0.038500000000000006,0.07076784044921515,0.02835737769582099,1.9648107039144391,0.028349361790765415,0.04811383013907494,0.03779158480809651,0.8627328675762577,0.008251806776629955,6.925857900001574,0.21937780000735074,35.0,0.0
edge_drop,0.25,source_only,2,0.1515,0.04750000000000001,0.09934746167042371,0.03213931036236447,1.9459660103782435,0.0004761248536169216,0.04757085979294171,0.008046621280095027,0.8571588507819698,0.00013624684519264463,3.7999998312443495e-06,0.0,0.0,0.0
edge_drop,0.25,entropy_all_nodes,2,0.1515,0.04750000000000001,0.09934746167042371,0.03213931036236447,1.9459660156344776,0.00047614451528665835,0.04757086506288976,0.008046606616944181,0.8571588522900018,0.00013625247288928666,0.25316260001272894,0.000298400002066046,6.0,0.0
edge_drop,0.25,reliable_entropy,2,0.1515,0.04750000000000001,0.09934746167042371,0.03213931036236447,1.9459660153322127,0.00047614333587164825,0.047570864786480115,0.008046607510994126,0.857158852203225,0.0001362521353263646,1.1887501000019256,0.010985500004608184,6.0,0.0
edge_drop,0.25,no_neighborhood_agreement,2,0.1515,0.04750000000000001,0.09934746167042371,0.03213931036236447,1.9459660156344727,0.0004761445153854682,0.047570865062905,0.00804660661686888,0.8571588522900002,0.00013625247291754183,1.1372879499976989,0.01915624999674037,6.0,0.0
